State,City,Airport,Code,Year,Freight tons,Mail tons,Passengers,Latitude,Longitude
Virginia,Charlottesville,Charlottesville Albemarle,CHO,1990,50596,2308,76728,38.14138889,-78.45305556
Virginia,Lynchburg,Lynchburg Regional/Preston Glenn Field,LYH,1990,119594,4864,31479,37.32694444,-79.20111111
Virginia,Newport News/Williamsburg,Newport News/Williamsburg International,PHF,1990,91811,686,18263,37.13166667,-76.49333333
Virginia,Norfolk,Norfolk International,ORF,1990,4637624,5061568,1255144,36.89583333,-76.20138889
Virginia,Norfolk,Norfolk NAS,NGU,1990,0,0,100,36.93722222,-76.29055556
Virginia,Newport News/Williamsburg,Patrick Henry International,PHF,1990,81644,1150,34828,37.13166667,-76.49333333
Virginia,Richmond,Richmond International,RIC,1990,2589772,7014104,863017,37.50527778,-77.31972222
Virginia,Roanoke,Roanoke Regional/Woodrum Field,ROA,1990,487800,1174818,224127,37.32472222,-79.97638889
Virginia,Washington,Ronald Reagan Washington National,DCA,1990,20940228,54682686,7032033,38.85166667,-77.03694444
Virginia,Staunton,Shenandoah Valley Regional,SHD,1990,0,0,2716,38.26388889,-78.89666667
Virginia,Washington,Washington Dulles International,IAD,1990,88431642,50655036,4745840,38.94166667,-77.4575
Virginia,Washington,Ronald Reagan Washington National,DCA,1991,7409,29027,6631828,38.85166667,-77.03694444
Virginia,Washington,Washington Dulles International,IAD,1991,53449,23839,4714617,38.94166667,-77.4575
Virginia,Norfolk,Norfolk International,ORF,1991,5971,2647,1170132,36.89583333,-76.20138889
Virginia,Richmond,Richmond International,RIC,1991,11936,4691,826451,37.50527778,-77.31972222
Virginia,Lynchburg,Lynchburg Regional/Preston Glenn Field,LYH,1991,0,0,8283,37.32694444,-79.20111111
Virginia,Staunton,Shenandoah Valley Regional,SHD,1991,0,0,3774,38.26388889,-78.89666667
Virginia,Norfolk,Norfolk NAS,NGU,1991,5970,1541,24544,36.93722222,-76.29055556
Virginia,Oceana,Oceana NAS,NTU,1991,0,0,230,36.82055556,-76.03388889
Virginia,Charlottesville,Charlottesville Albemarle,CHO,1991,13,1,63081,38.14138889,-78.45305556
Virginia,Newport News/Hampton,Langley AFB,LFI,1991,0,0,1970,37.08277778,-76.36083333
Virginia,Newport News/Williamsburg,Newport News/Williamsburg International,PHF,1991,42,0,57220,37.13166667,-76.49333333
Virginia,Roanoke,Roanoke Regional/Woodrum Field,ROA,1991,3846,578,189873,37.32472222,-79.97638889
Virginia,Washington,Ronald Reagan Washington National,DCA,1992,8199,29555,6836877,38.85166667,-77.03694444
Virginia,Washington,Washington Dulles International,IAD,1992,61930,29591,4478719,38.94166667,-77.4575
Virginia,Norfolk,Norfolk International,ORF,1992,5251,4582,1122619,36.89583333,-76.20138889
Virginia,Richmond,Richmond International,RIC,1992,11892,4171,894028,37.50527778,-77.31972222
Virginia,Lynchburg,Lynchburg Regional/Preston Glenn Field,LYH,1992,0,0,201,37.32694444,-79.20111111
Virginia,Norfolk,Norfolk NAS,NGU,1992,3201,0,14750,36.93722222,-76.29055556
Virginia,Oceana,Oceana NAS,NTU,1992,0,0,1033,36.82055556,-76.03388889
Virginia,Charlottesville,Charlottesville Albemarle,CHO,1992,4,0,44200,38.14138889,-78.45305556
Virginia,Newport News/Hampton,Langley AFB,LFI,1992,21,0,563,37.08277778,-76.36083333
Virginia,Newport News/Williamsburg,Newport News/Williamsburg International,PHF,1992,23,1,48813,37.13166667,-76.49333333
Virginia,Roanoke,Roanoke Regional/Woodrum Field,ROA,1992,2302,693,178263,37.32472222,-79.97638889
Virginia,Washington,Ronald Reagan Washington National,DCA,1993,7705,27408,7186011,38.85166667,-77.03694444
Virginia,Washington,Washington Dulles International,IAD,1993,66322,31653,3982251,38.94166667,-77.4575
Virginia,Norfolk,Norfolk International,ORF,1993,5271,6141,1134081,36.89583333,-76.20138889
Virginia,Richmond,Richmond International,RIC,1993,14036,4789,924265,37.50527778,-77.31972222
Virginia,Lynchburg,Lynchburg Regional/Preston Glenn Field,LYH,1993,2,0,89,37.32694444,-79.20111111
Virginia,Staunton,Shenandoah Valley Regional,SHD,1993,34,0,0,38.26388889,-78.89666667
Virginia,Norfolk,Norfolk NAS,NGU,1993,11645,0,15122,36.93722222,-76.29055556
Virginia,Charlottesville,Charlottesville Albemarle,CHO,1993,0,0,641,38.14138889,-78.45305556
Virginia,Newport News/Hampton,Langley AFB,LFI,1993,25,0,1972,37.08277778,-76.36083333
Virginia,Newport News/Williamsburg,Newport News/Williamsburg International,PHF,1993,15,0,50328,37.13166667,-76.49333333
Virginia,Roanoke,Roanoke Regional/Woodrum Field,ROA,1993,3035,807,158030,37.32472222,-79.97638889
Virginia,Washington,Ronald Reagan Washington National,DCA,1994,7640,30705,6983375,38.85166667,-77.03694444
Virginia,Washington,Washington Dulles International,IAD,1994,77330,28807,4240202,38.94166667,-77.4575
Virginia,Norfolk,Norfolk International,ORF,1994,6387,6360,1547039,36.89583333,-76.20138889
Virginia,Richmond,Richmond International,RIC,1994,16416,4907,1025563,37.50527778,-77.31972222
Virginia,Lynchburg,Lynchburg Regional/Preston Glenn Field,LYH,1994,88,0,6223,37.32694444,-79.20111111
Virginia,Staunton,Shenandoah Valley Regional,SHD,1994,154,0,37,38.26388889,-78.89666667
Virginia,Norfolk,Norfolk NAS,NGU,1994,9919,0,15531,36.93722222,-76.29055556
Virginia,Oceana,Oceana NAS,NTU,1994,0,0,6,36.82055556,-76.03388889
Virginia,Charlottesville,Charlottesville Albemarle,CHO,1994,2,0,1470,38.14138889,-78.45305556
Virginia,Newport News/Hampton,Langley AFB,LFI,1994,0,0,1371,37.08277778,-76.36083333
Virginia,Newport News/Williamsburg,Newport News/Williamsburg International,PHF,1994,18,0,63187,37.13166667,-76.49333333
Virginia,Roanoke,Roanoke Regional/Woodrum Field,ROA,1994,2918,840,223751,37.32472222,-79.97638889
Virginia,Washington,Ronald Reagan Washington National,DCA,1995,7392,25672,6888576,38.85166667,-77.03694444
Virginia,Washington,Washington Dulles International,IAD,1995,80679,37648,4574682,38.94166667,-77.4575
Virginia,Norfolk,Norfolk International,ORF,1995,5939,6450,1185153,36.89583333,-76.20138889
Virginia,Richmond,Richmond International,RIC,1995,15989,5821,999161,37.50527778,-77.31972222
Virginia,Lynchburg,Lynchburg Regional/Preston Glenn Field,LYH,1995,9,0,12414,37.32694444,-79.20111111
Virginia,Staunton,Shenandoah Valley Regional,SHD,1995,180,0,24,38.26388889,-78.89666667
Virginia,Norfolk,Norfolk NAS,NGU,1995,6470,0,15875,36.93722222,-76.29055556
Virginia,Charlottesville,Charlottesville Albemarle,CHO,1995,1,0,1950,38.14138889,-78.45305556
Virginia,Newport News/Hampton,Langley AFB,LFI,1995,0,0,923,37.08277778,-76.36083333
Virginia,Newport News/Williamsburg,Newport News/Williamsburg International,PHF,1995,6,1,82532,37.13166667,-76.49333333
Virginia,Roanoke,Roanoke Regional/Woodrum Field,ROA,1995,9783,571,213539,37.32472222,-79.97638889
Virginia,Washington,Ronald Reagan Washington National,DCA,1996,6638,25646,6771891,38.85166667,-77.03694444
Virginia,Washington,Washington Dulles International,IAD,1996,84494,38728,4758242,38.94166667,-77.4575
Virginia,Norfolk,Norfolk International,ORF,1996,6609,6405,1263078,36.89583333,-76.20138889
Virginia,Richmond,Richmond International,RIC,1996,17172,7148,992861,37.50527778,-77.31972222
Virginia,Danville,Danville Regional,DAN,1996,0,0,0,36.57305556,-79.335
Virginia,Lynchburg,Lynchburg Regional/Preston Glenn Field,LYH,1996,11,0,10807,37.32694444,-79.20111111
Virginia,Staunton,Shenandoah Valley Regional,SHD,1996,184,0,179,38.26388889,-78.89666667
Virginia,Norfolk,Norfolk NAS,NGU,1996,2663,0,15188,36.93722222,-76.29055556
Virginia,Oceana,Oceana NAS,NTU,1996,0,0,117,36.82055556,-76.03388889
Virginia,Charlottesville,Charlottesville Albemarle,CHO,1996,0,0,4403,38.14138889,-78.45305556
Virginia,Newport News/Hampton,Langley AFB,LFI,1996,0,0,0,37.08277778,-76.36083333
Virginia,Newport News/Williamsburg,Newport News/Williamsburg International,PHF,1996,0,20,46071,37.13166667,-76.49333333
Virginia,Roanoke,Roanoke Regional/Woodrum Field,ROA,1996,6500,536,217897,37.32472222,-79.97638889
Virginia,Washington,Ronald Reagan Washington National,DCA,1997,6151,24293,7010224,38.85166667,-77.03694444
Virginia,Washington,Washington Dulles International,IAD,1997,95795,40328,4969772,38.94166667,-77.4575
Virginia,Norfolk,Norfolk International,ORF,1997,8027,4664,1320621,36.89583333,-76.20138889
Virginia,Richmond,Richmond International,RIC,1997,27226,6408,1092907,37.50527778,-77.31972222
Virginia,Danville,Danville Regional,DAN,1997,0,0,0,36.57305556,-79.335
