State,City,Airport,Code,Year,Freight tons,Mail tons,Passengers,Latitude,Longitude
Pennsylvania,Erie,Erie International,ERI,1990,92222,6477,98173,42.08,-80.17861111
Pennsylvania,Harrisburg,Harrisburg International,MDT,1990,858838,3159789,434988,40.19305556,-76.76222222
Pennsylvania,Allentown/Bethlehem/Easton,Lehigh Valley International,ABE,1990,680580,700585,349455,40.65472222,-75.43833333
Pennsylvania,Philadelphia,Philadelphia International,PHL,1990,81170385,84040464,7162857,39.86805556,-75.24861111
Pennsylvania,Pittsburgh,Pittsburgh International,PIT,1990,29652807,48550279,7922031,40.49666667,-80.23583333
Pennsylvania,Reading,Reading Regional/Carl A Spaatz Field,RDG,1990,40,0,513,40.37861111,-75.96388889
Pennsylvania,State College,State College Air Depot,SCE,1990,7594,442,12226,40.77083333,-77.88138889
Pennsylvania,Scranton/Wilkes-Barre,Wilkes Barre Scranton International,AVP,1990,131240,22009,178900,41.33916667,-75.72583333
Pennsylvania,Pittsburgh,Allegheny County,AGC,1991,1,0,0,40.35472222,-79.93
Pennsylvania,Reading,Reading Regional/Carl A Spaatz Field,RDG,1991,59,0,2740,40.37861111,-75.96388889
Pennsylvania,Altoona,Altoona-Blair County,AOO,1991,143,0,0,40.29722222,-78.32
Pennsylvania,Harrisburg,Harrisburg International,MDT,1991,12395,1427,454776,40.19305556,-76.76222222
Pennsylvania,Philadelphia,Philadelphia International,PHL,1991,95504,41869,6552740,39.86805556,-75.24861111
Pennsylvania,Pittsburgh,Pittsburgh International,PIT,1991,31377,23824,7727986,40.49666667,-80.23583333
Pennsylvania,Williamsport,Williamsport Regional,IPT,1991,205,0,0,41.24222222,-76.92055556
Pennsylvania,Johnstown,Johnstown Cambria County,JST,1991,126,0,0,40.31666667,-78.83444444
Pennsylvania,Allentown/Bethlehem/Easton,Lehigh Valley International,ABE,1991,1732,441,340289,40.65472222,-75.43833333
Pennsylvania,Scranton/Wilkes-Barre,Wilkes Barre Scranton International,AVP,1991,893,11,145754,41.33916667,-75.72583333
Pennsylvania,State College,State College Air Depot,SCE,1991,580,0,13755,40.77083333,-77.88138889
Pennsylvania,Willow Grove,Willow Grove NAS,NXX,1991,0,0,291,40.20027778,-75.14833333
Pennsylvania,Erie,Erie International,ERI,1991,644,1,102954,42.08,-80.17861111
Pennsylvania,Latrobe,Latrobe Airport,LBE,1991,0,0,558,40.27638889,-79.40277778
Pennsylvania,Bradford,Bradford Regional,BFD,1991,0,0,0,41.80222222,-78.63944444
Pennsylvania,Philadelphia,North Philadelphia,PNE,1992,0,0,263,40.08027778,-75.0125
Pennsylvania,Pittsburgh,Allegheny County,AGC,1992,0,0,0,40.35472222,-79.93
Pennsylvania,Reading,Reading Regional/Carl A Spaatz Field,RDG,1992,0,0,2737,40.37861111,-75.96388889
Pennsylvania,Altoona,Altoona-Blair County,AOO,1992,216,0,0,40.29722222,-78.32
Pennsylvania,Harrisburg,Harrisburg International,MDT,1992,8740,2520,517724,40.19305556,-76.76222222
Pennsylvania,Philadelphia,Philadelphia International,PHL,1992,62730,49719,6968466,39.86805556,-75.24861111
Pennsylvania,Pittsburgh,Pittsburgh International,PIT,1992,30085,30778,8582058,40.49666667,-80.23583333
Pennsylvania,Williamsport,Williamsport Regional,IPT,1992,237,0,266,41.24222222,-76.92055556
Pennsylvania,Johnstown,Johnstown Cambria County,JST,1992,151,0,39,40.31666667,-78.83444444
Pennsylvania,Allentown/Bethlehem/Easton,Lehigh Valley International,ABE,1992,2572,661,350573,40.65472222,-75.43833333
Pennsylvania,Scranton/Wilkes-Barre,Wilkes Barre Scranton International,AVP,1992,925,25,136794,41.33916667,-75.72583333
Pennsylvania,St. Marys,St. Marys Municipal,STQ,1992,1,0,0,41.4125,-78.5025
Pennsylvania,State College,State College Air Depot,SCE,1992,660,0,15833,40.77083333,-77.88138889
Pennsylvania,Erie,Erie International,ERI,1992,712,0,100141,42.08,-80.17861111
Pennsylvania,Latrobe,Latrobe Airport,LBE,1992,0,0,1443,40.27638889,-79.40277778
Pennsylvania,DuBois,DuBois Jefferson County,DUJ,1992,3,0,0,41.17833333,-78.89888889
Pennsylvania,Pittsburgh,Allegheny County,AGC,1993,2,0,0,40.35472222,-79.93
Pennsylvania,Reading,Reading Regional/Carl A Spaatz Field,RDG,1993,0,0,1995,40.37861111,-75.96388889
Pennsylvania,Altoona,Altoona-Blair County,AOO,1993,252,0,0,40.29722222,-78.32
Pennsylvania,Harrisburg,Harrisburg International,MDT,1993,8855,3176,513458,40.19305556,-76.76222222
Pennsylvania,Philadelphia,Philadelphia International,PHL,1993,56680,52488,7294135,39.86805556,-75.24861111
Pennsylvania,Pittsburgh,Pittsburgh International,PIT,1993,30986,27720,8383674,40.49666667,-80.23583333
Pennsylvania,Williamsport,Williamsport Regional,IPT,1993,241,0,160,41.24222222,-76.92055556
Pennsylvania,Johnstown,Johnstown Cambria County,JST,1993,168,0,0,40.31666667,-78.83444444
Pennsylvania,Allentown/Bethlehem/Easton,Lehigh Valley International,ABE,1993,5097,2063,325261,40.65472222,-75.43833333
Pennsylvania,Scranton/Wilkes-Barre,Wilkes Barre Scranton International,AVP,1993,1133,192,161631,41.33916667,-75.72583333
Pennsylvania,State College,State College Air Depot,SCE,1993,668,0,0,40.77083333,-77.88138889
Pennsylvania,Erie,Erie International,ERI,1993,719,0,94535,42.08,-80.17861111
Pennsylvania,Latrobe,Latrobe Airport,LBE,1993,0,0,2060,40.27638889,-79.40277778
Pennsylvania,Pittsburgh,Allegheny County,AGC,1994,0,0,105,40.35472222,-79.93
Pennsylvania,Reading,Reading Regional/Carl A Spaatz Field,RDG,1994,0,0,2250,40.37861111,-75.96388889
Pennsylvania,Altoona,Altoona-Blair County,AOO,1994,301,0,150,40.29722222,-78.32
Pennsylvania,Harrisburg,Harrisburg International,MDT,1994,12441,3403,521015,40.19305556,-76.76222222
Pennsylvania,Philadelphia,Philadelphia International,PHL,1994,73998,43959,7613203,39.86805556,-75.24861111
Pennsylvania,Pittsburgh,Pittsburgh International,PIT,1994,31177,27584,9000006,40.49666667,-80.23583333
Pennsylvania,Williamsport,Williamsport Regional,IPT,1994,255,0,0,41.24222222,-76.92055556
Pennsylvania,Johnstown,Johnstown Cambria County,JST,1994,214,0,0,40.31666667,-78.83444444
Pennsylvania,Allentown/Bethlehem/Easton,Lehigh Valley International,ABE,1994,6136,2221,347887,40.65472222,-75.43833333
Pennsylvania,Scranton/Wilkes-Barre,Wilkes Barre Scranton International,AVP,1994,1132,737,172556,41.33916667,-75.72583333
Pennsylvania,State College,State College Air Depot,SCE,1994,665,0,111,40.77083333,-77.88138889
Pennsylvania,Reedsville,Mifflin County,RED,1994,1,0,0,40.6775,-77.62694444
Pennsylvania,Erie,Erie International,ERI,1994,746,0,89428,42.08,-80.17861111
