State,City,Airport,Code,Year,Freight tons,Mail tons,Passengers,Latitude,Longitude
South Carolina,Anderson,Anderson Regional,AND,1990,0,0,0,34.49361111,-82.71
South Carolina,Charleston,Charleston International,CHS,1990,1749321,1732138,630756,32.89916667,-80.03888889
South Carolina,Columbia,Columbia Metropolitan,CAE,1990,1805938,4019592,511794,33.93638889,-81.11583333
South Carolina,Greer,Greenville-Spartanburg,GSP,1990,2602490,3817897,502376,34.89888889,-82.21388889
South Carolina,Myrtle Beach,Myrtle Beach International,MYR,1990,100480,9945,204512,33.67916667,-78.92972222
South Carolina,Greer,Greenville-Spartanburg,GSP,1991,704,2627,435710,34.89888889,-82.21388889
South Carolina,Sumter,Shaw AFB,SSC,1991,6,0,101,33.97277778,-80.47305556
South Carolina,Columbia,Columbia Metropolitan,CAE,1991,9536,2425,479049,33.93638889,-81.11583333
South Carolina,Charleston,Charleston International,CHS,1991,2609,857,637651,32.89916667,-80.03888889
South Carolina,Myrtle Beach,Myrtle Beach International,MYR,1991,284,0,222161,33.67916667,-78.92972222
South Carolina,Beaufort,Beaufort County,BFT,1991,0,0,446,32.41194444,-80.63472222
South Carolina,Columbia,McEntire Jngb,MMT,1992,0,0,72,33.91833333,-80.79972222
South Carolina,Greer,Greenville-Spartanburg,GSP,1992,794,2791,424265,34.89888889,-82.21388889
South Carolina,Sumter,Shaw AFB,SSC,1992,2,0,941,33.97277778,-80.47305556
South Carolina,Florence,Florence Regional,FLO,1992,0,0,140,34.18888889,-79.72444444
South Carolina,Columbia,Columbia Metropolitan,CAE,1992,5037,2611,455938,33.93638889,-81.11583333
South Carolina,Charleston,Charleston International,CHS,1992,5876,903,623040,32.89916667,-80.03888889
South Carolina,Myrtle Beach,Myrtle Beach International,MYR,1992,304,0,212981,33.67916667,-78.92972222
South Carolina,Myrtle Beach,Grand Strand,CRE,1992,1,0,0,33.81166667,-78.72416667
South Carolina,Beaufort,Beaufort County,BFT,1992,0,0,491,32.41194444,-80.63472222
South Carolina,Greer,Greenville-Spartanburg,GSP,1993,3691,2674,476561,34.89888889,-82.21388889
South Carolina,Sumter,Shaw AFB,SSC,1993,27,0,437,33.97277778,-80.47305556
South Carolina,Hartsville,Hartsville Regional,HVS,1993,30,0,0,34.40527778,-80.11805556
South Carolina,Florence,Florence Regional,FLO,1993,2,0,9460,34.18888889,-79.72444444
South Carolina,Columbia,Columbia Metropolitan,CAE,1993,6627,2329,420075,33.93638889,-81.11583333
South Carolina,Charleston,Charleston International,CHS,1993,16338,1286,632872,32.89916667,-80.03888889
South Carolina,Greenwood,Greenwood County,GRD,1993,0,0,0,34.25138889,-82.15833333
South Carolina,Anderson,Anderson Regional,AND,1993,1,0,24,34.49361111,-82.71
South Carolina,Myrtle Beach,Myrtle Beach International,MYR,1993,333,0,208642,33.67916667,-78.92972222
South Carolina,Beaufort,Beaufort County,BFT,1993,0,0,392,32.41194444,-80.63472222
South Carolina,Greenville,Greenville Downtown,GMU,1994,3,0,0,34.84777778,-82.35027778
South Carolina,Greer,Greenville-Spartanburg,GSP,1994,5508,2578,652761,34.89888889,-82.21388889
South Carolina,Sumter,Shaw AFB,SSC,1994,0,0,356,33.97277778,-80.47305556
South Carolina,Florence,Florence Regional,FLO,1994,4,0,20096,34.18888889,-79.72444444
South Carolina,Columbia,Columbia Metropolitan,CAE,1994,9430,2563,516592,33.93638889,-81.11583333
South Carolina,Charleston,Charleston International,CHS,1994,11877,1183,856007,32.89916667,-80.03888889
South Carolina,Greenwood,Greenwood County,GRD,1994,0,0,608,34.25138889,-82.15833333
South Carolina,Anderson,Anderson Regional,AND,1994,0,0,28,34.49361111,-82.71
South Carolina,Myrtle Beach,Myrtle Beach International,MYR,1994,372,0,262743,33.67916667,-78.92972222
South Carolina,Myrtle Beach,Grand Strand,CRE,1994,0,0,0,33.81166667,-78.72416667
South Carolina,Greer,Greenville-Spartanburg,GSP,1995,8612,2557,556778,34.89888889,-82.21388889
South Carolina,Sumter,Shaw AFB,SSC,1995,183,0,549,33.97277778,-80.47305556
South Carolina,Florence,Florence Regional,FLO,1995,6,0,19364,34.18888889,-79.72444444
South Carolina,Columbia,Columbia Metropolitan,CAE,1995,9883,2815,523574,33.93638889,-81.11583333
South Carolina,Charleston,Charleston International,CHS,1995,7206,1113,668544,32.89916667,-80.03888889
South Carolina,Anderson,Anderson Regional,AND,1995,0,0,20,34.49361111,-82.71
South Carolina,Greenville,Donaldson Center,GDC,1995,0,0,155,34.75833333,-82.37666667
South Carolina,Myrtle Beach,Myrtle Beach International,MYR,1995,446,0,388324,33.67916667,-78.92972222
South Carolina,Hilton Head,Hilton Head Airport,HHH,1995,0,0,843,32.21666667,-80.68333333
South Carolina,Beaufort,Beaufort County,BFT,1995,0,0,50,32.41194444,-80.63472222
South Carolina,Greenville,Greenville Downtown,GMU,1996,43,0,0,34.84777778,-82.35027778
South Carolina,Greer,Greenville-Spartanburg,GSP,1996,10135,2336,592784,34.89888889,-82.21388889
South Carolina,Sumter,Shaw AFB,SSC,1996,49,0,813,33.97277778,-80.47305556
South Carolina,Hartsville,Hartsville Regional,HVS,1996,21,0,0,34.40527778,-80.11805556
South Carolina,Florence,Florence Regional,FLO,1996,6,0,18789,34.18888889,-79.72444444
South Carolina,Columbia,Columbia Metropolitan,CAE,1996,12426,1261,512326,33.93638889,-81.11583333
South Carolina,Charleston,Charleston International,CHS,1996,4086,1144,656139,32.89916667,-80.03888889
South Carolina,Anderson,Anderson Regional,AND,1996,0,0,154,34.49361111,-82.71
South Carolina,Myrtle Beach,Myrtle Beach International,MYR,1996,466,0,441493,33.67916667,-78.92972222
South Carolina,Myrtle Beach,Grand Strand,CRE,1996,2,0,0,33.81166667,-78.72416667
South Carolina,Hilton Head,Hilton Head Airport,HHH,1996,74,0,0,32.21666667,-80.68333333
South Carolina,Greer,Greenville-Spartanburg,GSP,1997,10419,2453,605086,34.89888889,-82.21388889
South Carolina,Spartanburg,Spartanburg Downtown Memorial,SPA,1997,26,0,0,34.91638889,-81.95777778
South Carolina,Sumter,Shaw AFB,SSC,1997,0,0,1367,33.97277778,-80.47305556
South Carolina,Hartsville,Hartsville Regional,HVS,1997,0,0,28,34.40527778,-80.11805556
South Carolina,Florence,Florence Regional,FLO,1997,3,0,20585,34.18888889,-79.72444444
South Carolina,Columbia,Columbia Metropolitan,CAE,1997,82764,1160,512482,33.93638889,-81.11583333
South Carolina,Charleston,Charleston International,CHS,1997,1440,1051,712124,32.89916667,-80.03888889
South Carolina,Anderson,Anderson Regional,AND,1997,0,0,22,34.49361111,-82.71
South Carolina,Myrtle Beach,Myrtle Beach International,MYR,1997,473,0,470004,33.67916667,-78.92972222
South Carolina,Columbia,Owens Field,CUB,1997,1,0,236,33.97083333,-80.99555556
South Carolina,Hilton Head,Hilton Head Airport,HHH,1997,0,0,0,32.21666667,-80.68333333
South Carolina,Beaufort,Beaufort County,BFT,1997,0,0,94,32.41194444,-80.63472222
South Carolina,Columbia,McEntire Jngb,MMT,1998,0,0,81,33.91833333,-80.79972222
South Carolina,Greer,Greenville-Spartanburg,GSP,1998,10534,1711,547354,34.89888889,-82.21388889
South Carolina,Spartanburg,Spartanburg Downtown Memorial,SPA,1998,8,0,0,34.91638889,-81.95777778
South Carolina,Pickens,Pickens County,LQK,1998,1,0,0,34.81,-82.70277778
South Carolina,Sumter,Shaw AFB,SSC,1998,0,0,672,33.97277778,-80.47305556
South Carolina,Florence,Florence Regional,FLO,1998,3,0,21594,34.18888889,-79.72444444
South Carolina,Columbia,Columbia Metropolitan,CAE,1998,92724,1099,450708,33.93638889,-81.11583333
South Carolina,Charleston,Charleston International,CHS,1998,885,1099,690607,32.89916667,-80.03888889
South Carolina,Anderson,Anderson Regional,AND,1998,5,0,110,34.49361111,-82.71
South Carolina,Myrtle Beach,Myrtle Beach International,MYR,1998,492,3,551471,33.67916667,-78.92972222
South Carolina,Hilton Head,Hilton Head Airport,HHH,1998,3,0,0,32.21666667,-80.68333333
South Carolina,Greenville,Greenville Downtown,GMU,1999,3,0,0,34.84777778,-82.35027778
South Carolina,Greer,Greenville-Spartanburg,GSP,1999,12886,1828,547213,34.89888889,-82.21388889
South Carolina,Sumter,Shaw AFB,SSC,1999,46,0,387,33.97277778,-80.47305556
South Carolina,Florence,Florence Regional,FLO,1999,9,0,22948,34.18888889,-79.72444444
South Carolina,Columbia,Columbia Metropolitan,CAE,1999,84223,920,399210,33.93638889,-81.11583333
South Carolina,Charleston,Charleston International,CHS,1999,1070,1220,649719,32.89916667,-80.03888889
South Carolina,Anderson,Anderson Regional,AND,1999,1,0,0,34.49361111,-82.71
South Carolina,Myrtle Beach,Myrtle Beach International,MYR,1999,488,0,558491,33.67916667,-78.92972222
South Carolina,Greenville,Greenville Downtown,GMU,2000,1,0,0,34.84777778,-82.35027778
South Carolina,Columbia,McEntire Jngb,MMT,2000,0,0,0,33.91833333,-80.79972222
South Carolina,Greer,Greenville-Spartanburg,GSP,2000,10815,1393,621410,34.89888889,-82.21388889
South Carolina,Sumter,Shaw AFB,SSC,2000,0,0,648,33.97277778,-80.47305556
South Carolina,Florence,Florence Regional,FLO,2000,6,0,20728,34.18888889,-79.72444444
South Carolina,Columbia,Columbia Metropolitan,CAE,2000,80930,928,443378,33.93638889,-81.11583333
South Carolina,Charleston,Charleston International,CHS,2000,1552,920,660537,32.89916667,-80.03888889
South Carolina,Greenwood,Greenwood County,GRD,2000,0,0,29,34.25138889,-82.15833333
South Carolina,Anderson,Anderson Regional,AND,2000,2,0,0,34.49361111,-82.71
South Carolina,Myrtle Beach,Myrtle Beach International,MYR,2000,619,0,737079,33.67916667,-78.92972222
South Carolina,Greenville,Greenville Downtown,GMU,2001,0,0,0,34.84777778,-82.35027778
South Carolina,Columbia,McEntire Jngb,MMT,2001,0,0,96,33.91833333,-80.79972222
South Carolina,Greer,Greenville-Spartanburg,GSP,2001,17023,957,516096,34.89888889,-82.21388889
South Carolina,Sumter,Shaw AFB,SSC,2001,29,0,470,33.97277778,-80.47305556
South Carolina,Florence,Florence Regional,FLO,2001,1,0,17212,34.18888889,-79.72444444
South Carolina,Columbia,Columbia Metropolitan,CAE,2001,108536,805,353588,33.93638889,-81.11583333
South Carolina,Charleston,Charleston International,CHS,2001,1177,522,603991,32.89916667,-80.03888889
South Carolina,Anderson,Anderson Regional,AND,2001,2,0,0,34.49361111,-82.71
South Carolina,Myrtle Beach,Myrtle Beach International,MYR,2001,514,0,673749,33.67916667,-78.92972222
South Carolina,Myrtle Beach,Grand Strand,CRE,2001,0,0,0,33.81166667,-78.72416667
South Carolina,Beaufort,Beaufort County,BFT,2001,0,0,274,32.41194444,-80.63472222
South Carolina,Greenville,Greenville Downtown,GMU,2002,0,0,0,34.84777778,-82.35027778
South Carolina,Greer,Greenville-Spartanburg,GSP,2002,10367,110,433519,34.89888889,-82.21388889
South Carolina,Sumter,Shaw AFB,SSC,2002,66,0,631,33.97277778,-80.47305556
South Carolina,Hartsville,Hartsville Regional,HVS,2002,0,0,0,34.40527778,-80.11805556
South Carolina,Darlington,Darlington County Jetport,UDG,2002,1,0,0,34.44916667,-79.89027778
South Carolina,Florence,Florence Regional,FLO,2002,2,0,17416,34.18888889,-79.72444444
South Carolina,Columbia,Columbia Metropolitan,CAE,2002,66535,392,292323,33.93638889,-81.11583333
South Carolina,Charleston,Charleston International,CHS,2002,1395,124,574502,32.89916667,-80.03888889
South Carolina,Greenwood,Greenwood County,GRD,2002,1,0,0,34.25138889,-82.15833333
South Carolina,Anderson,Anderson Regional,AND,2002,0,0,0,34.49361111,-82.71
South Carolina,Greenville,Donaldson Center,GDC,2002,0,0,118,34.75833333,-82.37666667
South Carolina,Myrtle Beach,Myrtle Beach International,MYR,2002,445,0,612316,33.67916667,-78.92972222
South Carolina,Hilton Head,Hilton Head Airport,HHH,2002,7960,0,0,32.21666667,-80.68333333
South Carolina,Beaufort,Beaufort County,BFT,2002,0,0,218,32.41194444,-80.63472222
South Carolina,Greenville,Greenville Downtown,GMU,2003,1,0,0,34.84777778,-82.35027778
South Carolina,Columbia,McEntire Jngb,MMT,2003,0,0,0,33.91833333,-80.79972222
South Carolina,Greer,Greenville-Spartanburg,GSP,2003,12099,121,483593,34.89888889,-82.21388889
South Carolina,Sumter,Shaw AFB,SSC,2003,0,0,1545,33.97277778,-80.47305556
South Carolina,Florence,Florence Regional,FLO,2003,87,0,19238,34.18888889,-79.72444444
South Carolina,Columbia,Columbia Metropolitan,CAE,2003,68548,219,372871,33.93638889,-81.11583333
South Carolina,Charleston,Charleston International,CHS,2003,50779,136,672662,32.89916667,-80.03888889
South Carolina,Anderson,Anderson Regional,AND,2003,3,0,203,34.49361111,-82.71
South Carolina,Myrtle Beach,Myrtle Beach International,MYR,2003,433,0,630066,33.67916667,-78.92972222
South Carolina,Myrtle Beach,Grand Strand,CRE,2003,0,0,26,33.81166667,-78.72416667
South Carolina,Beaufort,Beaufort County,BFT,2003,42,0,283,32.41194444,-80.63472222
South Carolina,Greenville,Greenville Downtown,GMU,2004,0,0,0,34.84777778,-82.35027778
South Carolina,Greer,Greenville-Spartanburg,GSP,2004,13302,178,666045,34.89888889,-82.21388889
South Carolina,Sumter,Shaw AFB,SSC,2004,61,0,1022,33.97277778,-80.47305556
South Carolina,Darlington,Darlington County Jetport,UDG,2004,3,0,0,34.44916667,-79.89027778
South Carolina,Florence,Florence Regional,FLO,2004,13,0,19601,34.18888889,-79.72444444
South Carolina,Winnsboro,Fairfield County,SC2,2004,0,0,0,34.31555556,-81.10888889
South Carolina,Columbia,Columbia Metropolitan,CAE,2004,71313,215,586920,33.93638889,-81.11583333
South Carolina,Charleston,Charleston International,CHS,2004,52750,243,841494,32.89916667,-80.03888889
South Carolina,Greenwood,Greenwood County,GRD,2004,1,0,0,34.25138889,-82.15833333
South Carolina,Anderson,Anderson Regional,AND,2004,0,0,74,34.49361111,-82.71
South Carolina,Myrtle Beach,Myrtle Beach International,MYR,2004,497,0,740794,33.67916667,-78.92972222
South Carolina,Sumter,Sumter Airport,SUM,2004,1,0,0,33.995,-80.3625
South Carolina,Beaufort,Beaufort County,BFT,2004,26,0,422,32.41194444,-80.63472222
South Carolina,Greenville,Greenville Downtown,GMU,2005,35,0,0,34.84777778,-82.35027778
South Carolina,Greer,Greenville-Spartanburg,GSP,2005,15033,20,778032,34.89888889,-82.21388889
South Carolina,Spartanburg,Spartanburg Downtown Memorial,SPA,2005,3,0,0,34.91638889,-81.95777778
South Carolina,Beaufort,Beaufort MCAS,SC1,2005,0,0,443,32.4775,-80.72305556
