State,City,Airport,Code,Year,Freight tons,Mail tons,Passengers,Latitude,Longitude
Colorado,Aspen,Aspen Pitkin County Sardy Field,ASE,1990,26129,6085,141699,39.22416667,-106.8688889
Colorado,Eagle,Eagle County Regional,EGE,1990,5,23,8356,39.64361111,-106.9138889
Colorado,Rifle,Garfield County Regional,RIL,1990,0,0,203,39.51805556,-107.7791667
Colorado,Gunnison,Gunnison-Crested Butte Regional,GUC,1990,7021,579,27547,38.53388889,-106.9388889
Colorado,Durango,La Plata County,DRO,1990,221388,23830,38400,37.15,-107.7511111
Colorado,Montrose/Delta,Montrose Regional,MTJ,1990,2457,1026,3582,38.50055556,-107.8947222
Colorado,Colorado Springs,Peterson Field,COS,1990,1226132,1343926,549686,38.80888889,-104.7091667
Colorado,Pueblo,Pueblo Memorial,PUB,1990,100136,4144,42840,38.29277778,-104.4961111
Colorado,Rangely,Rangely Airport,RNG,1990,80638,0,0,40.09472222,-108.7605556
Colorado,Denver,Stapleton International,DEN,1990,92700087,75955137,12009097,39.77444444,-104.8797222
Colorado,Grand Junction,Walker Field,GJT,1990,161179,560192,70065,39.11861111,-108.5138889
Colorado,Hayden,Yampa Valley,HDN,1990,5791,1210,43204,40.48166667,-107.22
Colorado,Aspen,Aspen Pitkin County Sardy Field,ASE,1991,256,1,134205,39.22416667,-106.8688889
Colorado,Colorado Springs,Peterson Field,COS,1991,527,1156,614173,38.80888889,-104.7091667
Colorado,Denver,Stapleton International,DEN,1991,95686,37139,12460994,39.77444444,-104.8797222
Colorado,Rifle,Garfield County Regional,RIL,1991,10,0,0,39.51805556,-107.7791667
Colorado,Grand Junction,Walker Field,GJT,1991,267,262,58953,39.11861111,-108.5138889
Colorado,Durango,La Plata County,DRO,1991,58,2,28225,37.15,-107.7511111
Colorado,Montrose/Delta,Montrose Regional,MTJ,1991,77,0,0,38.50055556,-107.8947222
Colorado,Steamboat Springs,Steamboat Springs/Bob Adams Field,SBS,1991,1,0,0,40.51666667,-106.8625
Colorado,Pueblo,Pueblo Memorial,PUB,1991,18,3,32928,38.29277778,-104.4961111
Colorado,Eagle,Eagle County Regional,EGE,1991,0,0,30253,39.64361111,-106.9138889
Colorado,Gunnison,Gunnison-Crested Butte Regional,GUC,1991,1,0,24688,38.53388889,-106.9388889
Colorado,Hayden,Yampa Valley,HDN,1991,38,0,51971,40.48166667,-107.22
Colorado,Delta,Blake Field,ZXY,1991,0,0,0,38.78333333,-108.0652778
Colorado,Limon,Limon Municipal,LIC,1991,0,0,0,39.27277778,-103.6658333
Colorado,Aspen,Aspen Pitkin County Sardy Field,ASE,1992,230,1,161447,39.22416667,-106.8688889
Colorado,Colorado Springs,Peterson Field,COS,1992,397,1341,701161,38.80888889,-104.7091667
Colorado,Denver,Stapleton International,DEN,1992,84263,42892,13594753,39.77444444,-104.8797222
Colorado,Rifle,Garfield County Regional,RIL,1992,37,0,50,39.51805556,-107.7791667
Colorado,Grand Junction,Walker Field,GJT,1992,302,232,43025,39.11861111,-108.5138889
Colorado,Durango,La Plata County,DRO,1992,11,0,24620,37.15,-107.7511111
Colorado,Glenwood Springs,Glenwood Springs Municipal,GWS,1992,1,0,0,39.50833333,-107.3113889
Colorado,Montrose/Delta,Montrose Regional,MTJ,1992,103,0,260,38.50055556,-107.8947222
Colorado,Steamboat Springs,Steamboat Springs/Bob Adams Field,SBS,1992,0,0,0,40.51666667,-106.8625
Colorado,Pueblo,Pueblo Memorial,PUB,1992,3,0,4679,38.29277778,-104.4961111
Colorado,Eagle,Eagle County Regional,EGE,1992,0,0,34662,39.64361111,-106.9138889
Colorado,Gunnison,Gunnison-Crested Butte Regional,GUC,1992,0,0,35365,38.53388889,-106.9388889
Colorado,Fort Collins/Loveland,Fort Collins-Loveland Municipal,FNL,1992,0,0,48,40.44888889,-105.0102778
Colorado,Hayden,Yampa Valley,HDN,1992,54,1,49826,40.48166667,-107.22
Colorado,Telluride,Telluride Regional,TEX,1992,0,0,0,37.95388889,-107.9083333
Colorado,Aspen,Aspen Pitkin County Sardy Field,ASE,1993,185,0,76,39.22416667,-106.8688889
Colorado,Colorado Springs,Peterson Field,COS,1993,1241,1732,732422,38.80888889,-104.7091667
Colorado,Denver,Stapleton International,DEN,1993,95974,50082,14180878,39.77444444,-104.8797222
