State,City,Airport,Code,Year,Freight tons,Mail tons,Passengers,Latitude,Longitude
U.S. Virgin Islands,Christiansted,Alexander Hamilton,STX,1990,1086405,395794,124056,17.70388889,-64.79888889
U.S. Virgin Islands,Charlotte Amalie,Cyril E King,STT,1990,1005036,774065,361579,18.33722222,-64.97333333
U.S. Virgin Islands,Charlotte Amalie,Cyril E King,STT,1991,658,334,453201,18.33722222,-64.97333333
U.S. Virgin Islands,Christiansted,Alexander Hamilton,STX,1991,576,186,166024,17.70388889,-64.79888889
U.S. Virgin Islands,Charlotte Amalie,Cyril E King,STT,1992,720,343,454903,18.33722222,-64.97333333
U.S. Virgin Islands,Christiansted,Alexander Hamilton,STX,1992,521,114,149433,17.70388889,-64.79888889
U.S. Virgin Islands,Charlotte Amalie,Cyril E King,STT,1993,480,283,518263,18.33722222,-64.97333333
U.S. Virgin Islands,Christiansted,Alexander Hamilton,STX,1993,485,17,184038,17.70388889,-64.79888889
U.S. Virgin Islands,St. John,St. John Airport,SJF,1993,26,0,0,18.33333333,-64.75
U.S. Virgin Islands,Charlotte Amalie,Cyril E King,STT,1994,993,429,581254,18.33722222,-64.97333333
U.S. Virgin Islands,Christiansted,Alexander Hamilton,STX,1994,375,8,220288,17.70388889,-64.79888889
U.S. Virgin Islands,St. John,St. John Airport,SJF,1994,4090,0,0,18.33333333,-64.75
U.S. Virgin Islands,Charlotte Amalie,Cyril E King,STT,1995,948,288,516590,18.33722222,-64.97333333
U.S. Virgin Islands,Christiansted,Alexander Hamilton,STX,1995,596,19,208222,17.70388889,-64.79888889
U.S. Virgin Islands,Charlotte Amalie,Cyril E King,STT,1996,438,193,379192,18.33722222,-64.97333333
U.S. Virgin Islands,Christiansted,Alexander Hamilton,STX,1996,580,27,219217,17.70388889,-64.79888889
U.S. Virgin Islands,Charlotte Amalie,Cyril E King,STT,1997,385,135,423895,18.33722222,-64.97333333
U.S. Virgin Islands,Christiansted,Alexander Hamilton,STX,1997,334,34,199425,17.70388889,-64.79888889
U.S. Virgin Islands,Charlotte Amalie,Cyril E King,STT,1998,377,158,446030,18.33722222,-64.97333333
U.S. Virgin Islands,Christiansted,Alexander Hamilton,STX,1998,294,79,185880,17.70388889,-64.79888889
U.S. Virgin Islands,Christiansted,Christiansted Harbor Seaplane Base,SSB,1998,0,0,0,17.74916667,-64.70527778
U.S. Virgin Islands,Charlotte Amalie,Cyril E King,STT,1999,358,161,460479,18.33722222,-64.97333333
U.S. Virgin Islands,Christiansted,Alexander Hamilton,STX,1999,213,64,182514,17.70388889,-64.79888889
U.S. Virgin Islands,Charlotte Amalie,Cyril E King,STT,2000,494,133,471228,18.33722222,-64.97333333
U.S. Virgin Islands,Christiansted,Alexander Hamilton,STX,2000,288,23,187677,17.70388889,-64.79888889
U.S. Virgin Islands,Charlotte Amalie,Cyril E King,STT,2001,295,95,475537,18.33722222,-64.97333333
U.S. Virgin Islands,Christiansted,Alexander Hamilton,STX,2001,187,7,175086,17.70388889,-64.79888889
U.S. Virgin Islands,Charlotte Amalie,Cyril E King,STT,2002,271,0,478056,18.33722222,-64.97333333
U.S. Virgin Islands,Christiansted,Alexander Hamilton,STX,2002,117,0,158614,17.70388889,-64.79888889
U.S. Virgin Islands,Charlotte Amalie,Cyril E King,STT,2003,219,2,515797,18.33722222,-64.97333333
U.S. Virgin Islands,Christiansted,Alexander Hamilton,STX,2003,101,0,129602,17.70388889,-64.79888889
U.S. Virgin Islands,Charlotte Amalie,Cyril E King,STT,2004,188,0,521492,18.33722222,-64.97333333
U.S. Virgin Islands,Christiansted,Alexander Hamilton,STX,2004,115,0,144162,17.70388889,-64.79888889
U.S. Virgin Islands,Charlotte Amalie,Cyril E King,STT,2005,235,1,542470,18.33722222,-64.97333333
U.S. Virgin Islands,Christiansted,Alexander Hamilton,STX,2005,140,0,161155,17.70388889,-64.79888889
U.S. Virgin Islands,Charlotte Amalie,Cyril E King,STT,2006,196,0,540568,18.33722222,-64.97333333
U.S. Virgin Islands,Christiansted,Alexander Hamilton,STX,2006,110,0,157887,17.70388889,-64.79888889
