State,City,Airport,Code,Year,Freight tons,Mail tons,Passengers,Latitude,Longitude
Wyoming,Casper,Casper/Natrona County International,CPR,1990,185972,3314,25436,42.90861111,-106.4625
Wyoming,Cheyenne,Cheyenne Regional/Jerry Olson Field,CYS,1990,0,0,0,41.15583333,-104.8122222
Wyoming,Gillette,Gillette Campbell County,GCC,1990,6243,512,4836,44.35138889,-105.525
Wyoming,Jackson,Jackson Hole,JAC,1990,73444,3496,112029,43.60666667,-110.7369444
Wyoming,Kemmerer,Kemmerer Municipal,EMM,1990,8067,0,0,41.825,-110.5583333
Wyoming,Sheridan,Sheridan County,SHR,1990,4323,434,3512,44.77416667,-106.9772222
Wyoming,Cheyenne,Cheyenne Regional/Jerry Olson Field,CYS,1991,180,0,1114,41.15583333,-104.8122222
Wyoming,Jackson,Jackson Hole,JAC,1991,118,2,126261,43.60666667,-110.7369444
Wyoming,Cheyenne,Francis E. Warren AFB Heliport,FEW,1991,0,0,0,41.13333333,-104.8672222
Wyoming,Cody,Yellowstone Regional,COD,1991,14,0,0,44.51583333,-109.0275
Wyoming,Gillette,Gillette Campbell County,GCC,1991,115,0,88,44.35138889,-105.525
Wyoming,Riverton/Lander,Riverton Regional,RIW,1991,115,0,44,43.06444444,-108.4569444
Wyoming,Rock Springs,Rock Springs Sweetwater County,RKS,1991,69,0,0,41.59638889,-109.0658333
Wyoming,Casper,Casper/Natrona County International,CPR,1991,215,5,23578,42.90861111,-106.4625
Wyoming,Fort Bridger,Fort Bridger Airport,FBR,1991,0,0,0,41.39305556,-110.4055556
Wyoming,Rawlins,Rawlins Municipal/Harvey Field,RWL,1991,1,0,0,41.80444444,-107.2013889
Wyoming,Buffalo,Johnson County,BYG,1991,1,0,0,44.38138889,-106.7211111
Wyoming,Laramie,General Brees Field,LAR,1991,1,0,0,41.31361111,-105.6730556
Wyoming,Sheridan,Sheridan County,SHR,1991,20,0,102,44.77416667,-106.9772222
Wyoming,Cheyenne,Cheyenne Regional/Jerry Olson Field,CYS,1992,253,0,2378,41.15583333,-104.8122222
Wyoming,Jackson,Jackson Hole,JAC,1992,131,3,144110,43.60666667,-110.7369444
Wyoming,Cheyenne,Francis E. Warren AFB Heliport,FEW,1992,1,0,0,41.13333333,-104.8672222
Wyoming,Cody,Yellowstone Regional,COD,1992,25,0,1286,44.51583333,-109.0275
Wyoming,Gillette,Gillette Campbell County,GCC,1992,136,0,0,44.35138889,-105.525
Wyoming,Douglas,Converse County,DGW,1992,1,0,0,42.79722222,-105.3861111
Wyoming,Riverton/Lander,Riverton Regional,RIW,1992,174,0,98,43.06444444,-108.4569444
Wyoming,Rock Springs,Rock Springs Sweetwater County,RKS,1992,70,0,0,41.59638889,-109.0658333
Wyoming,Casper,Casper/Natrona County International,CPR,1992,225,4,25223,42.90861111,-106.4625
Wyoming,Laramie,General Brees Field,LAR,1992,0,0,0,41.31361111,-105.6730556
Wyoming,Sheridan,Sheridan County,SHR,1992,25,0,0,44.77416667,-106.9772222
Wyoming,Cheyenne,Cheyenne Regional/Jerry Olson Field,CYS,1993,259,0,2203,41.15583333,-104.8122222
Wyoming,Thermopolis,Hot Springs County Thermopolis Municipal,THP,1993,0,0,0,43.65833333,-108.2133333
Wyoming,Jackson,Jackson Hole,JAC,1993,152,0,143598,43.60666667,-110.7369444
Wyoming,Cody,Yellowstone Regional,COD,1993,30,0,3825,44.51583333,-109.0275
Wyoming,Gillette,Gillette Campbell County,GCC,1993,143,0,87,44.35138889,-105.525
Wyoming,Riverton/Lander,Riverton Regional,RIW,1993,168,0,156,43.06444444,-108.4569444
Wyoming,Rock Springs,Rock Springs Sweetwater County,RKS,1993,76,0,0,41.59638889,-109.0658333
Wyoming,Casper,Casper/Natrona County International,CPR,1993,3410,2,22636,42.90861111,-106.4625
Wyoming,Lander,Hunt Field,LND,1993,4,0,0,42.81527778,-108.7294444
Wyoming,Laramie,General Brees Field,LAR,1993,1,0,0,41.31361111,-105.6730556
Wyoming,Evanston,Evanston-Uinta County Burns Field,EVW,1993,0,0,0,41.275,-111.0322222
Wyoming,Sheridan,Sheridan County,SHR,1993,22,0,0,44.77416667,-106.9772222
Wyoming,Cheyenne,Cheyenne Regional/Jerry Olson Field,CYS,1994,266,0,3009,41.15583333,-104.8122222
Wyoming,Jackson,Jackson Hole,JAC,1994,168,1,123514,43.60666667,-110.7369444
Wyoming,Cody,Yellowstone Regional,COD,1994,33,0,4007,44.51583333,-109.0275
Wyoming,Gillette,Gillette Campbell County,GCC,1994,136,0,244,44.35138889,-105.525
Wyoming,Riverton/Lander,Riverton Regional,RIW,1994,170,0,480,43.06444444,-108.4569444
Wyoming,Rock Springs,Rock Springs Sweetwater County,RKS,1994,81,0,123,41.59638889,-109.0658333
Wyoming,Casper,Casper/Natrona County International,CPR,1994,8633,0,5698,42.90861111,-106.4625
Wyoming,Lander,Hunt Field,LND,1994,1,0,0,42.81527778,-108.7294444
Wyoming,Laramie,General Brees Field,LAR,1994,0,0,30,41.31361111,-105.6730556
Wyoming,Sheridan,Sheridan County,SHR,1994,32,0,151,44.77416667,-106.9772222
Wyoming,Cheyenne,Cheyenne Regional/Jerry Olson Field,CYS,1995,218,7,14171,41.15583333,-104.8122222
Wyoming,Jackson,Jackson Hole,JAC,1995,202,2,121643,43.60666667,-110.7369444
Wyoming,Cody,Yellowstone Regional,COD,1995,36,0,7549,44.51583333,-109.0275
Wyoming,Gillette,Gillette Campbell County,GCC,1995,89,0,7795,44.35138889,-105.525
Wyoming,Riverton/Lander,Riverton Regional,RIW,1995,130,0,7608,43.06444444,-108.4569444
Wyoming,Rock Springs,Rock Springs Sweetwater County,RKS,1995,91,0,4480,41.59638889,-109.0658333
Wyoming,Casper,Casper/Natrona County International,CPR,1995,7102,0,16938,42.90861111,-106.4625
Wyoming,Lander,Hunt Field,LND,1995,1,0,0,42.81527778,-108.7294444
Wyoming,Laramie,General Brees Field,LAR,1995,1,0,5229,41.31361111,-105.6730556
Wyoming,Sheridan,Sheridan County,SHR,1995,32,0,7731,44.77416667,-106.9772222
Wyoming,Worland,Worland Municipal,WRL,1995,0,0,1428,43.9675,-107.9530556
Wyoming,Cheyenne,Cheyenne Regional/Jerry Olson Field,CYS,1996,190,0,21798,41.15583333,-104.8122222
Wyoming,Thermopolis,Hot Springs County Thermopolis Municipal,THP,1996,0,0,0,43.65833333,-108.2133333
Wyoming,Jackson,Jackson Hole,JAC,1996,248,0,145649,43.60666667,-110.7369444
Wyoming,Cody,Yellowstone Regional,COD,1996,43,0,13111,44.51583333,-109.0275
Wyoming,Gillette,Gillette Campbell County,GCC,1996,98,0,13489,44.35138889,-105.525
Wyoming,Riverton/Lander,Riverton Regional,RIW,1996,108,0,13309,43.06444444,-108.4569444
Wyoming,Rock Springs,Rock Springs Sweetwater County,RKS,1996,91,0,9075,41.59638889,-109.0658333
Wyoming,Casper,Casper/Natrona County International,CPR,1996,4334,0,28733,42.90861111,-106.4625
Wyoming,Rawlins,Rawlins Municipal/Harvey Field,RWL,1996,1,0,0,41.80444444,-107.2013889
Wyoming,Laramie,General Brees Field,LAR,1996,0,0,9685,41.31361111,-105.6730556
Wyoming,Sheridan,Sheridan County,SHR,1996,34,0,13485,44.77416667,-106.9772222
Wyoming,Worland,Worland Municipal,WRL,1996,1,0,2792,43.9675,-107.9530556
Wyoming,Cheyenne,Cheyenne Regional/Jerry Olson Field,CYS,1997,200,0,9345,41.15583333,-104.8122222
Wyoming,Jackson,Jackson Hole,JAC,1997,303,2,140009,43.60666667,-110.7369444
Wyoming,Cody,Yellowstone Regional,COD,1997,47,0,4775,44.51583333,-109.0275
Wyoming,Gillette,Gillette Campbell County,GCC,1997,87,0,5963,44.35138889,-105.525
Wyoming,Riverton/Lander,Riverton Regional,RIW,1997,108,0,4774,43.06444444,-108.4569444
Wyoming,Rock Springs,Rock Springs Sweetwater County,RKS,1997,113,0,4224,41.59638889,-109.0658333
Wyoming,Casper,Casper/Natrona County International,CPR,1997,6855,0,13111,42.90861111,-106.4625
Wyoming,Laramie,General Brees Field,LAR,1997,0,0,4087,41.31361111,-105.6730556
Wyoming,Sheridan,Sheridan County,SHR,1997,38,0,5216,44.77416667,-106.9772222
Wyoming,Worland,Worland Municipal,WRL,1997,0,0,1174,43.9675,-107.9530556
Wyoming,Cheyenne,Cheyenne Regional/Jerry Olson Field,CYS,1998,168,0,7917,41.15583333,-104.8122222
Wyoming,Jackson,Jackson Hole,JAC,1998,293,2,150652,43.60666667,-110.7369444
Wyoming,Cody,Yellowstone Regional,COD,1998,49,0,8389,44.51583333,-109.0275
Wyoming,Gillette,Gillette Campbell County,GCC,1998,66,0,3697,44.35138889,-105.525
Wyoming,Riverton/Lander,Riverton Regional,RIW,1998,111,0,0,43.06444444,-108.4569444
Wyoming,Rock Springs,Rock Springs Sweetwater County,RKS,1998,100,0,0,41.59638889,-109.0658333
Wyoming,Casper,Casper/Natrona County International,CPR,1998,8647,11,20759,42.90861111,-106.4625
Wyoming,Buffalo,Johnson County,BYG,1998,1,0,0,44.38138889,-106.7211111
Wyoming,Laramie,General Brees Field,LAR,1998,0,0,1576,41.31361111,-105.6730556
Wyoming,Sheridan,Sheridan County,SHR,1998,47,0,5486,44.77416667,-106.9772222
Wyoming,Worland,Worland Municipal,WRL,1998,2,0,0,43.9675,-107.9530556
