State,City,Airport,Code,Year,Freight tons,Mail tons,Passengers,Latitude,Longitude
Oklahoma,Ardmore,Ardmore Municipal,ADM,1990,9988,0,0,34.30305556,-97.01972222
Oklahoma,Oklahoma City,Tinker AFB,TIK,1990,0,0,172,35.41833333,-97.38888889
Oklahoma,Tulsa,Tulsa International,TUL,1990,6997190,11163251,1482145,36.19777778,-95.88972222
Oklahoma,Oklahoma City,Will Rogers World,OKC,1990,3774434,9843232,1517999,35.39305556,-97.60055556
Oklahoma,Muskogee,Davis Field,MKO,1991,0,0,57,35.66055556,-95.36666667
Oklahoma,Stillwater,Searcy Field,SWO,1991,0,0,488,36.15888889,-97.08555556
Oklahoma,Oklahoma City,Will Rogers World,OKC,1991,11348,4799,1482418,35.39305556,-97.60055556
Oklahoma,Tulsa,Tulsa International,TUL,1991,13175,5307,1420221,36.19777778,-95.88972222
Oklahoma,Lawton/Fort Sill,Lawton-Fort Sill Regional,LAW,1991,0,0,287,34.56972222,-98.41611111
Oklahoma,Enid,Vance AFB,END,1991,0,0,153,36.33972222,-97.91583333
Oklahoma,Oklahoma City,Tinker AFB,TIK,1991,16106,61,618,35.41833333,-97.38888889
Oklahoma,Altus,Altus AFB,LTS,1991,0,0,3544,34.66388889,-99.27361111
Oklahoma,Stillwater,Searcy Field,SWO,1992,0,0,857,36.15888889,-97.08555556
Oklahoma,Oklahoma City,Will Rogers World,OKC,1992,12733,5032,1544742,35.39305556,-97.60055556
Oklahoma,Tulsa,Tulsa International,TUL,1992,9413,5408,1434523,36.19777778,-95.88972222
Oklahoma,Lawton/Fort Sill,Lawton-Fort Sill Regional,LAW,1992,1,0,1338,34.56972222,-98.41611111
Oklahoma,Ponca City,Ponca City Regional,PNC,1992,1,0,0,36.72805556,-97.09944444
Oklahoma,Enid,Vance AFB,END,1992,0,0,625,36.33972222,-97.91583333
Oklahoma,Oklahoma City,Tinker AFB,TIK,1992,4588,0,573,35.41833333,-97.38888889
Oklahoma,Altus,Altus AFB,LTS,1992,102,0,0,34.66388889,-99.27361111
Oklahoma,Stillwater,Searcy Field,SWO,1993,0,0,1080,36.15888889,-97.08555556
Oklahoma,Oklahoma City,Will Rogers World,OKC,1993,13269,5123,1527590,35.39305556,-97.60055556
Oklahoma,Tulsa,Tulsa International,TUL,1993,9765,5231,1444058,36.19777778,-95.88972222
Oklahoma,Lawton/Fort Sill,Lawton-Fort Sill Regional,LAW,1993,5,24,51949,34.56972222,-98.41611111
Oklahoma,Oklahoma City,Tinker AFB,TIK,1993,885,0,449,35.41833333,-97.38888889
Oklahoma,Altus,Altus AFB,LTS,1993,195,0,233,34.66388889,-99.27361111
Oklahoma,Muskogee,Davis Field,MKO,1994,0,0,0,35.66055556,-95.36666667
Oklahoma,McAlester,McAlester Regional,MLC,1994,0,0,0,34.88027778,-95.785
Oklahoma,Oklahoma City,Will Rogers World,OKC,1994,11493,5549,1657180,35.39305556,-97.60055556
Oklahoma,Tulsa,Tulsa International,TUL,1994,13096,5309,1530120,36.19777778,-95.88972222
Oklahoma,Lawton/Fort Sill,Lawton-Fort Sill Regional,LAW,1994,3,45,63791,34.56972222,-98.41611111
Oklahoma,Enid,Vance AFB,END,1994,0,0,307,36.33972222,-97.91583333
Oklahoma,Oklahoma City,Tinker AFB,TIK,1994,215,0,244,35.41833333,-97.38888889
Oklahoma,Altus,Altus AFB,LTS,1994,67,0,105,34.66388889,-99.27361111
Oklahoma,Muskogee,Davis Field,MKO,1995,0,0,0,35.66055556,-95.36666667
Oklahoma,Stillwater,Searcy Field,SWO,1995,0,0,1045,36.15888889,-97.08555556
Oklahoma,Oklahoma City,Will Rogers World,OKC,1995,13862,5547,1649169,35.39305556,-97.60055556
Oklahoma,Ardmore,Ardmore Municipal,ADM,1995,9,0,0,34.30305556,-97.01972222
Oklahoma,Tulsa,Tulsa International,TUL,1995,13800,5287,1521987,36.19777778,-95.88972222
Oklahoma,Lawton/Fort Sill,Lawton-Fort Sill Regional,LAW,1995,4,17,55478,34.56972222,-98.41611111
Oklahoma,Enid,Vance AFB,END,1995,0,0,267,36.33972222,-97.91583333
Oklahoma,Oklahoma City,Tinker AFB,TIK,1995,0,0,197,35.41833333,-97.38888889
Oklahoma,Altus,Altus AFB,LTS,1995,6,0,1375,34.66388889,-99.27361111
Oklahoma,Stillwater,Searcy Field,SWO,1996,0,0,834,36.15888889,-97.08555556
Oklahoma,Oklahoma City,Will Rogers World,OKC,1996,15084,5596,1744438,35.39305556,-97.60055556
Oklahoma,Ardmore,Ardmore Municipal,ADM,1996,0,0,0,34.30305556,-97.01972222
Oklahoma,Tulsa,Tulsa International,TUL,1996,14669,6443,1638422,36.19777778,-95.88972222
Oklahoma,Lawton/Fort Sill,Lawton-Fort Sill Regional,LAW,1996,5,17,64903,34.56972222,-98.41611111
Oklahoma,Ponca City,Ponca City Regional,PNC,1996,2,0,0,36.72805556,-97.09944444
Oklahoma,Enid,Vance AFB,END,1996,0,0,574,36.33972222,-97.91583333
Oklahoma,Oklahoma City,Tinker AFB,TIK,1996,0,0,393,35.41833333,-97.38888889
Oklahoma,Altus,Altus AFB,LTS,1996,15,0,0,34.66388889,-99.27361111
Oklahoma,Stillwater,Searcy Field,SWO,1997,0,0,1374,36.15888889,-97.08555556
Oklahoma,Oklahoma City,Will Rogers World,OKC,1997,17977,5506,1671617,35.39305556,-97.60055556
Oklahoma,Ardmore,Ardmore Municipal,ADM,1997,0,0,0,34.30305556,-97.01972222
Oklahoma,Tulsa,Tulsa International,TUL,1997,24183,6002,1621429,36.19777778,-95.88972222
Oklahoma,Lawton/Fort Sill,Lawton-Fort Sill Regional,LAW,1997,7,6,65445,34.56972222,-98.41611111
Oklahoma,Enid,Enid Woodring Regional,WDG,1997,0,0,0,36.37916667,-97.79083333
Oklahoma,Oklahoma City,Tinker AFB,TIK,1997,0,0,343,35.41833333,-97.38888889
Oklahoma,Altus,Altus AFB,LTS,1997,0,0,150,34.66388889,-99.27361111
Oklahoma,Clinton,Clinton Municipal,CLK,1998,0,0,64,35.53777778,-98.93166667
Oklahoma,Woodward,West Woodward,WWR,1998,0,0,160,36.43666667,-99.52111111
Oklahoma,Stillwater,Searcy Field,SWO,1998,0,0,487,36.15888889,-97.08555556
Oklahoma,Oklahoma City,Will Rogers World,OKC,1998,15857,5017,1756419,35.39305556,-97.60055556
