State,City,Airport,Code,Year,Freight tons,Mail tons,Passengers,Latitude,Longitude
U.S. Pacific Trust Territories and Possessions,Guam,Andersen AFB,UAM,1990,63721,0,0,13.5825,144.9275
U.S. Pacific Trust Territories and Possessions,Koror,Babelthuap,ROR,1990,2727554,48659,34284,7.36444444,134.5538889
U.S. Pacific Trust Territories and Possessions,Guam,Guam International,GUM,1990,57963453,4715127,1063219,13.48388889,144.7972222
U.S. Pacific Trust Territories and Possessions,Johnston Island,Johnston Atoll,JON,1990,11871,14856,383,16.73055556,-169.5352778
U.S. Pacific Trust Territories and Possessions,Midway Island,Midway NAF,MDY,1990,19665,0,0,28.19861111,-177.3802778
U.S. Pacific Trust Territories and Possessions,Pago Pago,Pago Pago International,PPG,1990,454642,134644,48625,-14.33444444,-170.7097222
U.S. Pacific Trust Territories and Possessions,Rota,Rota International,ROP,1990,307068,17156,30741,14.17333333,145.2388889
U.S. Pacific Trust Territories and Possessions,Saipan,Saipan International,SPN,1990,6115059,210007,447694,15.12027778,145.7302778
U.S. Pacific Trust Territories and Possessions,Tinian,West Tinian,TIQ,1990,12402,201,575,15.00194444,145.625
