State,City,Airport,Code,Year,Freight tons,Mail tons,Passengers,Latitude,Longitude
Missouri,Columbia,Columbia Regional,COU,1990,0,0,151,38.81361111,-92.21916667
Missouri,Kansas City,Kansas City International,MCI,1990,9453251,33218999,3360551,39.2975,-94.71388889
Missouri,St. Louis,Lambert-St. Louis International,STL,1990,73490571,75165910,9303131,38.74722222,-90.36444444
Missouri,Grandview,Richards/Gebaur AFB,GVW,1990,0,0,234,38.85083333,-94.55833333
Missouri,Springfield,Springfield-Branson National,SGF,1990,217824,1710,84938,37.24,-93.385
Missouri,Kansas City,Kansas City International,MCI,1991,18062,16980,3318559,39.2975,-94.71388889
Missouri,Columbia,Columbia Regional,COU,1991,0,0,26294,38.81361111,-92.21916667
Missouri,St. Louis,Lambert-St. Louis International,STL,1991,51336,32264,9452921,38.74722222,-90.36444444
Missouri,Springfield,Springfield-Branson National,SGF,1991,2735,1,113611,37.24,-93.385
Missouri,Cape Girardeau,Cape Girardeau Regional,CGI,1991,0,0,3796,37.22361111,-89.57166667
Missouri,Joplin,Joplin Municipal,JLN,1991,1,0,14253,37.14972222,-94.49777778
Missouri,Fort Leonard Wood,Forney AAF,TBN,1991,0,0,3938,37.74138889,-92.14055556
Missouri,St. Louis,Spirit of St. Louis,SUS,1991,7,0,0,38.66194444,-90.65
Missouri,Knob Noster,Whiteman AFB,SZL,1991,0,0,0,38.73027778,-93.54777778
Missouri,Kansas City,Kansas City Downtown,MKC,1991,11,0,172,39.12333333,-94.59277778
Missouri,Grandview,Richards/Gebaur AFB,GVW,1991,0,0,114,38.85083333,-94.55833333
Missouri,St. Louis,Bi-State Parks,CPS,1992,0,0,0,38.57138889,-90.15722222
Missouri,Kansas City,Kansas City International,MCI,1992,22702,20537,3514701,39.2975,-94.71388889
Missouri,Columbia,Columbia Regional,COU,1992,0,0,35006,38.81361111,-92.21916667
Missouri,St. Louis,Lambert-St. Louis International,STL,1992,54198,40264,10435595,38.74722222,-90.36444444
Missouri,Springfield,Springfield-Branson National,SGF,1992,1081,5,148829,37.24,-93.385
Missouri,Cape Girardeau,Cape Girardeau Regional,CGI,1992,0,0,4430,37.22361111,-89.57166667
Missouri,Joplin,Joplin Municipal,JLN,1992,4,0,21420,37.14972222,-94.49777778
Missouri,Fort Leonard Wood,Forney AAF,TBN,1992,0,0,5798,37.74138889,-92.14055556
Missouri,St. Louis,Spirit of St. Louis,SUS,1992,1,0,7102,38.66194444,-90.65
Missouri,Knob Noster,Whiteman AFB,SZL,1992,0,0,102,38.73027778,-93.54777778
Missouri,Kansas City,Kansas City Downtown,MKC,1992,264,0,654,39.12333333,-94.59277778
Missouri,St. Louis,Bi-State Parks,CPS,1993,0,0,21,38.57138889,-90.15722222
Missouri,Kansas City,Kansas City International,MCI,1993,24868,22959,3778822,39.2975,-94.71388889
Missouri,Columbia,Columbia Regional,COU,1993,2,0,32251,38.81361111,-92.21916667
Missouri,St. Louis,Lambert-St. Louis International,STL,1993,44984,42693,9902321,38.74722222,-90.36444444
Missouri,Springfield,Springfield-Branson National,SGF,1993,1116,8,245490,37.24,-93.385
Missouri,Cape Girardeau,Cape Girardeau Regional,CGI,1993,0,0,5275,37.22361111,-89.57166667
Missouri,Joplin,Joplin Municipal,JLN,1993,1,0,22108,37.14972222,-94.49777778
Missouri,Fort Leonard Wood,Forney AAF,TBN,1993,0,0,4793,37.74138889,-92.14055556
Missouri,St. Louis,Spirit of St. Louis,SUS,1993,1,0,0,38.66194444,-90.65
Missouri,Knob Noster,Whiteman AFB,SZL,1993,0,0,31,38.73027778,-93.54777778
Missouri,Kansas City,Kansas City Downtown,MKC,1993,460,0,300,39.12333333,-94.59277778
Missouri,Grandview,Richards/Gebaur AFB,GVW,1993,45,0,275,38.85083333,-94.55833333
Missouri,Kansas City,Kansas City International,MCI,1994,26377,25137,4280310,39.2975,-94.71388889
Missouri,St. Joseph,Rosecrans Memorial,STJ,1994,0,1,118,39.77583333,-94.91
Missouri,Columbia,Columbia Regional,COU,1994,140,0,36601,38.81361111,-92.21916667
Missouri,St. Louis,Lambert-St. Louis International,STL,1994,53105,54246,11603588,38.74722222,-90.36444444
Missouri,Springfield,Springfield-Branson National,SGF,1994,1418,10,258338,37.24,-93.385
Missouri,Lake of the Ozarks,Lee C Fine Memorial,AIZ,1994,0,0,121,38.09833333,-92.54722222
Missouri,Cape Girardeau,Cape Girardeau Regional,CGI,1994,0,0,6221,37.22361111,-89.57166667
Missouri,Joplin,Joplin Municipal,JLN,1994,0,0,23813,37.14972222,-94.49777778
Missouri,Fort Leonard Wood,Forney AAF,TBN,1994,0,0,4882,37.74138889,-92.14055556
Missouri,St. Louis,Spirit of St. Louis,SUS,1994,1,0,0,38.66194444,-90.65
Missouri,Knob Noster,Whiteman AFB,SZL,1994,0,0,81,38.73027778,-93.54777778
