State,City,Airport,Code,Year,Freight tons,Mail tons,Passengers,Latitude,Longitude
Washington,Bellingham,Bellingham International,BLI,1990,1704137,10689,86944,48.79444444,-122.5347222
Washington,Moses Lake,Grant County International,MWH,1990,26564,675,5030,47.205,-119.3155556
Washington,Seattle,King County Airport-Boeing Field,BFI,1990,550,1224,1939,47.52888889,-122.2994444
Washington,Wenatchee,Pangborn Memorial,EAT,1990,21701,12949,17866,47.39972222,-120.2077778
Washington,Pullman,Pullman Moscow Regional,PUW,1990,22363,2136,28289,46.74472222,-117.105
Washington,Seattle,Seattle/Tacoma International,SEA,1990,202364042,65627053,7570415,47.44916667,-122.3080556
Washington,Everett,Snohomish County Paine Field,PAE,1990,0,0,0,47.90833333,-122.2813889
Washington,Spokane,Spokane International,GEG,1990,2745995,4566607,758865,47.62,-117.5327778
Washington,Pasco/Kennewick/Richland,Tri Cities,PSC,1990,270450,880618,125066,46.26388889,-119.1147222
Washington,Walla Walla,Walla Walla Regional,ALW,1990,12503,2073,18350,46.09472222,-118.2911111
Washington,Port Angeles,William R. Fairchild International,CLM,1990,45271,4082,18747,48.11888889,-123.4936111
Washington,Yakima,Yakima Air Terminal/McAllister Field,YKM,1990,52696,27345,38988,46.56694444,-120.5377778
Washington,Connell,Connell City,WQI,1991,0,0,0,46.6625,-118.8322222
Washington,Copalis,Copalis State,XWE,1991,0,0,0,47.1275,-124.1791667
Washington,Spokane,Spokane International,GEG,1991,8551,2291,797833,47.62,-117.5327778
Washington,Tacoma,McChord AFB,TCM,1991,282,0,9636,47.13833333,-122.475
Washington,Wenatchee,Pangborn Memorial,EAT,1991,88,7,30455,47.39972222,-120.2077778
Washington,Eastsound,Orcas Island,ESD,1991,22,0,0,48.70833333,-122.9125
Washington,Pasco/Kennewick/Richland,Tri Cities,PSC,1991,575,393,164340,46.26388889,-119.1147222
Washington,Friday Harbor,Friday Harbor Airport,FRD,1991,11,0,0,48.52638889,-123.0238889
Washington,Seattle,Seattle/Tacoma International,SEA,1991,126851,33495,7722699,47.44916667,-122.3080556
Washington,Everett,Snohomish County Paine Field,PAE,1991,6,0,218,47.90833333,-122.2813889
Washington,Lopez Island,Lopez Island Airport,LPS,1991,0,0,0,48.48277778,-122.9355556
Washington,Burlington/Mount Vernon,Skagit Regional (Bayview),MVW,1991,2,0,0,48.47027778,-122.4105556
Washington,Omak,Omak Airport,OMK,1991,7,0,0,48.46666667,-119.5208333
Washington,Bremerton,Kitsap County,PWT,1991,154,0,0,47.485,-122.7633333
Washington,Tacoma,Gray AAF,GRF,1991,8,0,0,47.08333333,-122.5791667
Washington,Seattle,King County Airport-Boeing Field,BFI,1991,8180,2,5913,47.52888889,-122.2994444
Washington,Bellingham,Bellingham International,BLI,1991,906,2,93518,48.79444444,-122.5347222
Washington,Port Angeles,William R. Fairchild International,CLM,1991,57,0,21576,48.11888889,-123.4936111
Washington,Whidbey Island,Whidbey Island NAS,NUW,1991,0,0,133,48.35222222,-122.6541667
Washington,Moses Lake,Grant County International,MWH,1991,134,0,5039,47.205,-119.3155556
Washington,Kennewick,Vista Field,ZXX,1991,0,0,0,46.21833333,-119.2094444
Washington,Oak Harbor,Wes Lupian Airfield,ODW,1991,5,0,0,48.25333333,-122.6725
Washington,Port Orchard,Port Orchard Airport,XWK,1991,0,0,0,47.43333333,-122.6647222
Washington,Yakima,Yakima Air Terminal/McAllister Field,YKM,1991,197,7,65167,46.56694444,-120.5377778
Washington,Spokane,Fairchild AFB,SKA,1991,4,0,299,47.615,-117.6569444
Washington,Anacortes,Anacortes Airport,OTS,1991,1,0,0,48.49916667,-122.6611111
Washington,Walla Walla,Walla Walla Regional,ALW,1991,14,0,18147,46.09472222,-118.2911111
Washington,Pullman,Pullman Moscow Regional,PUW,1991,8,1,30632,46.74472222,-117.105
Washington,Sequim,Sequim Valley,SQV,1991,2,0,0,48.09777778,-123.1852778
Washington,Spokane,Spokane International,GEG,1992,9497,2686,917446,47.62,-117.5327778
Washington,Tacoma,McChord AFB,TCM,1992,934,0,2626,47.13833333,-122.475
Washington,Wenatchee,Pangborn Memorial,EAT,1992,111,8,30940,47.39972222,-120.2077778
Washington,Eastsound,Orcas Island,ESD,1992,36,0,0,48.70833333,-122.9125
Washington,Pasco/Kennewick/Richland,Tri Cities,PSC,1992,581,441,169914,46.26388889,-119.1147222
Washington,Friday Harbor,Friday Harbor Airport,FRD,1992,12,0,0,48.52638889,-123.0238889
Washington,Seattle,Seattle/Tacoma International,SEA,1992,135575,34870,8571972,47.44916667,-122.3080556
Washington,Everett,Snohomish County Paine Field,PAE,1992,1,0,0,47.90833333,-122.2813889
Washington,Lopez Island,Lopez Island Airport,LPS,1992,0,0,0,48.48277778,-122.9355556
Washington,Burlington/Mount Vernon,Skagit Regional (Bayview),MVW,1992,107,0,0,48.47027778,-122.4105556
Washington,Omak,Omak Airport,OMK,1992,10,0,0,48.46666667,-119.5208333
Washington,Bremerton,Kitsap County,PWT,1992,201,0,0,47.485,-122.7633333
Washington,Seattle,King County Airport-Boeing Field,BFI,1992,267,3,2161,47.52888889,-122.2994444
Washington,Bellingham,Bellingham International,BLI,1992,552,40,85939,48.79444444,-122.5347222
Washington,Port Townsend,Jefferson County International,TWD,1992,0,0,0,48.05,-122.8
Washington,Port Angeles,William R. Fairchild International,CLM,1992,68,0,23549,48.11888889,-123.4936111
Washington,Whidbey Island,Whidbey Island NAS,NUW,1992,0,0,106,48.35222222,-122.6541667
Washington,Moses Lake,Grant County International,MWH,1992,158,1,5133,47.205,-119.3155556
Washington,Blaine,Blaine Municipal,BWS,1992,2,0,0,48.98972222,-122.7305556
Washington,Kennewick,Vista Field,ZXX,1992,0,0,0,46.21833333,-119.2094444
Washington,Oak Harbor,Wes Lupian Airfield,ODW,1992,1,0,0,48.25333333,-122.6725
Washington,Yakima,Yakima Air Terminal/McAllister Field,YKM,1992,199,10,65166,46.56694444,-120.5377778
Washington,Spokane,Fairchild AFB,SKA,1992,11,0,270,47.615,-117.6569444
Washington,Anacortes,Anacortes Airport,OTS,1992,0,0,0,48.49916667,-122.6611111
Washington,Spokane,Felts Field,SFF,1992,54,0,0,47.68222222,-117.3161111
Washington,Walla Walla,Walla Walla Regional,ALW,1992,15,0,20245,46.09472222,-118.2911111
Washington,Pullman,Pullman Moscow Regional,PUW,1992,10,3,32915,46.74472222,-117.105
Washington,Sequim,Sequim Valley,SQV,1992,5,0,0,48.09777778,-123.1852778
Washington,Spokane,Spokane International,GEG,1993,27997,2996,1139489,47.62,-117.5327778
Washington,Olympia,Olympia Regional,OLM,1993,0,0,7210,46.97361111,-122.9033333
Washington,Tacoma,McChord AFB,TCM,1993,3486,0,6406,47.13833333,-122.475
Washington,Wenatchee,Pangborn Memorial,EAT,1993,1390,6,33407,47.39972222,-120.2077778
Washington,Eastsound,Orcas Island,ESD,1993,385,0,0,48.70833333,-122.9125
Washington,Pasco/Kennewick/Richland,Tri Cities,PSC,1993,5905,457,168971,46.26388889,-119.1147222
Washington,Friday Harbor,Friday Harbor Airport,FRD,1993,95,0,0,48.52638889,-123.0238889
Washington,Hoquiam,Bowerman,HQM,1993,0,0,217,46.97111111,-123.9366667
Washington,Seattle,Seattle/Tacoma International,SEA,1993,144561,37974,9010385,47.44916667,-122.3080556
Washington,Everett,Snohomish County Paine Field,PAE,1993,7,0,155,47.90833333,-122.2813889
Washington,Lopez Island,Lopez Island Airport,LPS,1993,202,0,0,48.48277778,-122.9355556
Washington,Burlington/Mount Vernon,Skagit Regional (Bayview),MVW,1993,859,0,0,48.47027778,-122.4105556
Washington,Omak,Omak Airport,OMK,1993,142,0,0,48.46666667,-119.5208333
Washington,Bremerton,Kitsap County,PWT,1993,2730,0,0,47.485,-122.7633333
Washington,Seattle,King County Airport-Boeing Field,BFI,1993,1255,2,1885,47.52888889,-122.2994444
Washington,Bellingham,Bellingham International,BLI,1993,2912,3,104275,48.79444444,-122.5347222
Washington,Port Townsend,Jefferson County International,TWD,1993,0,0,0,48.05,-122.8
Washington,Port Angeles,William R. Fairchild International,CLM,1993,624,0,25089,48.11888889,-123.4936111
Washington,Richland,Richland Airport,RLD,1993,28,0,0,46.30833333,-119.3055556
Washington,Moses Lake,Grant County International,MWH,1993,2152,0,5609,47.205,-119.3155556
Washington,Oak Harbor,Wes Lupian Airfield,ODW,1993,1,0,0,48.25333333,-122.6725
Washington,Yakima,Yakima Air Terminal/McAllister Field,YKM,1993,2324,23,57080,46.56694444,-120.5377778
Washington,Spokane,Fairchild AFB,SKA,1993,22,0,371,47.615,-117.6569444
Washington,Spokane,Felts Field,SFF,1993,87,0,0,47.68222222,-117.3161111
Washington,Walla Walla,Walla Walla Regional,ALW,1993,14,0,20282,46.09472222,-118.2911111
Washington,Pullman,Pullman Moscow Regional,PUW,1993,26,11,32855,46.74472222,-117.105
Washington,Arlington,Arlington Municipal,VWO,1993,1,0,0,48.16083333,-122.1588889
Washington,Spokane,Spokane International,GEG,1994,11942,3598,1322986,47.62,-117.5327778
Washington,Tacoma,McChord AFB,TCM,1994,2213,0,8234,47.13833333,-122.475
Washington,Wenatchee,Pangborn Memorial,EAT,1994,200,4,41346,47.39972222,-120.2077778
Washington,Ellensburg,Bowers Field,ELN,1994,2,0,0,47.03388889,-120.5302778
Washington,Eastsound,Orcas Island,ESD,1994,98,0,0,48.70833333,-122.9125
Washington,Pasco/Kennewick/Richland,Tri Cities,PSC,1994,945,551,170622,46.26388889,-119.1147222
Washington,Friday Harbor,Friday Harbor Airport,FRD,1994,32,0,0,48.52638889,-123.0238889
