State,City,Airport,Code,Year,Freight tons,Mail tons,Passengers,Latitude,Longitude
Rhode Island,North Kingstown,Quonset State Air Reserve National Guard Helipad,NCO,1990,0,0,1523,41.59944444,-71.41666667
Rhode Island,Providence,Theodore Francis Green State,PVD,1990,1651154,6792904,1059194,41.72833333,-71.42611111
Rhode Island,Providence,Theodore Francis Green State,PVD,1991,2066,3319,956999,41.72833333,-71.42611111
Rhode Island,Providence,Theodore Francis Green State,PVD,1992,2362,3958,999885,41.72833333,-71.42611111
Rhode Island,Providence,Theodore Francis Green State,PVD,1993,2726,3811,971545,41.72833333,-71.42611111
Rhode Island,North Kingstown,Quonset State Air Reserve National Guard Helipad,NCO,1993,0,0,70,41.59944444,-71.41666667
Rhode Island,Providence,Theodore Francis Green State,PVD,1994,3016,3177,1082875,41.72833333,-71.42611111
Rhode Island,North Kingstown,Quonset State Air Reserve National Guard Helipad,NCO,1994,0,0,0,41.59944444,-71.41666667
Rhode Island,Providence,Theodore Francis Green State,PVD,1995,3218,2854,976394,41.72833333,-71.42611111
Rhode Island,Providence,Theodore Francis Green State,PVD,1996,3428,3289,1128821,41.72833333,-71.42611111
Rhode Island,Providence,Theodore Francis Green State,PVD,1997,5573,3120,1853777,41.72833333,-71.42611111
Rhode Island,Providence,Theodore Francis Green State,PVD,1998,6841,2792,2155057,41.72833333,-71.42611111
Rhode Island,Providence,Theodore Francis Green State,PVD,1999,6892,2351,2398103,41.72833333,-71.42611111
Rhode Island,Providence,Theodore Francis Green State,PVD,2000,6636,2541,2554277,41.72833333,-71.42611111
Rhode Island,Providence,Theodore Francis Green State,PVD,2001,5009,1510,2613880,41.72833333,-71.42611111
Rhode Island,Providence,Theodore Francis Green State,PVD,2002,5659,219,2540061,41.72833333,-71.42611111
Rhode Island,Providence,Theodore Francis Green State,PVD,2003,6404,8,2507785,41.72833333,-71.42611111
Rhode Island,Providence,Theodore Francis Green State,PVD,2004,6704,2,2667183,41.72833333,-71.42611111
Rhode Island,Providence,Theodore Francis Green State,PVD,2005,9057,0,2792114,41.72833333,-71.42611111
Rhode Island,Providence,Theodore Francis Green State,PVD,2006,8494,0,2529880,41.72833333,-71.42611111
Rhode Island,Providence,Theodore Francis Green State,PVD,2007,9727,0,2412779,41.72833333,-71.42611111
Rhode Island,Providence,Theodore Francis Green State,PVD,2008,5702,9,2248156,41.72833333,-71.42611111
Rhode Island,North Kingstown,Quonset State,ZXU,2009,0,0,33,41.59722222,-71.41222222
Rhode Island,Providence,Theodore Francis Green State,PVD,2009,4556,0,2048503,41.72833333,-71.42611111
Rhode Island,North Kingstown,Quonset State,ZXU,2010,0,0,2,41.59722222,-71.41222222
Rhode Island,Providence,Theodore Francis Green State,PVD,2010,4881,3,1887088,41.72833333,-71.42611111
Rhode Island,North Kingstown,Quonset State,ZXU,2011,0,0,106,41.59722222,-71.41222222
Rhode Island,Providence,Theodore Francis Green State,PVD,2011,4551,24,1875952,41.72833333,-71.42611111
Rhode Island,North Kingstown,Quonset State,ZXU,2012,0,0,14,41.59722222,-71.41222222
Rhode Island,Providence,Theodore Francis Green State,PVD,2012,4468,1,1773094,41.72833333,-71.42611111
Rhode Island,North Kingstown,Quonset State,ZXU,2013,0,0,1,41.59722222,-71.41222222
Rhode Island,Providence,Theodore Francis Green State,PVD,2013,5122,1,1863573,41.72833333,-71.42611111
Rhode Island,Providence,Theodore Francis Green State,PVD,2014,5610,0,1748270,41.72833333,-71.42611111
Rhode Island,Providence,Theodore Francis Green State,PVD,2015,5723,1,1731351,41.72833333,-71.42611111
Rhode Island,North Kingstown,Quonset State,ZXU,2016,0,0,27,41.59722222,-71.41222222
Rhode Island,Providence,Theodore Francis Green State,PVD,2016,5637,0,1762183,41.72833333,-71.42611111
Rhode Island,Smithfield,North Central State,SFZ,2016,0,0,0,41.92,-71.49361111
Rhode Island,North Kingstown,Quonset State,ZXU,2017,0,0,179,41.59722222,-71.41222222
Rhode Island,Providence,Theodore Francis Green State,PVD,2017,8857,0,1819610,41.72833333,-71.42611111
Rhode Island,North Kingstown,Quonset State,ZXU,2018,16,0,43,41.59722222,-71.41222222
Rhode Island,Providence,Theodore Francis Green State,PVD,2018,11863,0,1959775,41.72833333,-71.42611111
Rhode Island,North Kingstown,Quonset State,ZXU,2019,0,0,5,41.59722222,-71.41222222
Rhode Island,Providence,Theodore Francis Green State,PVD,2019,5651,0,1901467,41.72833333,-71.42611111
Rhode Island,North Kingstown,Quonset State,ZXU,2020,0,0,1,41.59722222,-71.41222222
Rhode Island,Providence,Theodore Francis Green State,PVD,2020,7098,7,633842,41.72833333,-71.42611111
Rhode Island,North Kingstown,Quonset State,ZXU,2021,0,0,2,41.59722222,-71.41222222
Rhode Island,Providence,Theodore Francis Green State,PVD,2021,6898,2,1158700,41.72833333,-71.42611111
Rhode Island,Newport,Newport State Airport,NPT,2022,0,0,4,41.5324398,-71.2815439
Rhode Island,North Kingstown,Quonset State,ZXU,2022,0,0,9,41.59722222,-71.41222222
Rhode Island,Providence,Theodore Francis Green State,PVD,2022,4432,0,1167801,41.72833333,-71.42611111
Rhode Island,North Kingstown,Quonset State Air Reserve National Guard Helipad,NCO,2022,0,0,100,41.59944444,-71.41666667
