State,City,Airport,Code,Year,Freight tons,Mail tons,Passengers,Latitude,Longitude
Illinois,Chicago,Chicago Midway International,MDW,1990,9119394,8971166,3566769,41.785,-87.75194444
Illinois,Chicago,Chicago O'Hare International,ORD,1990,605502131,275539086,26723145,41.97805556,-87.90611111
Illinois,Rockford,Chicago/Rockford International,RFD,1990,0,0,0,42.19722222,-89.0925
Illinois,Peoria,Greater Peoria,PIA,1990,104149,30627,108716,40.66138889,-89.68722222
Illinois,Moline,Quad City International,MLI,1990,524055,620516,219933,41.44888889,-90.505
Illinois,Champaign/Urbana,University of Illinois/Willard,CMI,1990,37421,1123,81656,40.03972222,-88.27972222
Illinois,Moline,Quad City International,MLI,1991,1033,253,256745,41.44888889,-90.505
Illinois,Chicago,Chicago O'Hare International,ORD,1991,306434,130664,26053184,41.97805556,-87.90611111
Illinois,Rockford,Chicago/Rockford International,RFD,1991,15,2,24192,42.19722222,-89.0925
Illinois,Belleville,Scott AFB,BLV,1991,0,0,0,38.54277778,-89.85111111
Illinois,Peoria,Greater Peoria,PIA,1991,1650,15,120901,40.66138889,-89.68722222
Illinois,Springfield,Capital,SPI,1991,0,1,46540,39.84416667,-89.67888889
Illinois,Chicago,Meigs Field,CGX,1991,0,0,7701,41.85888889,-87.60833333
Illinois,Marion/Herrin,Williamson County Regional,MWA,1991,0,0,11714,37.75194444,-89.01638889
Illinois,Quincy,Quincy Regional-Baldwin Field,UIN,1991,0,0,7760,39.94416667,-91.19722222
Illinois,Bloomington/Normal,Central Illinois Regional,BMI,1991,0,2,19804,40.48194444,-88.9275
Illinois,Champaign/Urbana,University of Illinois/Willard,CMI,1991,31,2,117406,40.03972222,-88.27972222
Illinois,Chicago,Chicago Midway International,MDW,1991,5308,4303,2937407,41.785,-87.75194444
Illinois,Decatur,Decatur Airport,DEC,1991,1603,0,17781,39.83416667,-88.86861111
Illinois,Glenview,Glenview NAS,NBU,1991,0,0,287,42.08333333,-87.81833333
Illinois,Moline,Quad City International,MLI,1992,221,532,300106,41.44888889,-90.505
Illinois,Chicago,Chicago O'Hare International,ORD,1992,317837,142051,28947832,41.97805556,-87.90611111
Illinois,Lawrenceville,Lawrenceville-Vincennes International,LWV,1992,2,0,0,38.76305556,-87.60111111
Illinois,Rockford,Chicago/Rockford International,RFD,1992,10,7,78950,42.19722222,-89.0925
Illinois,Belleville,Scott AFB,BLV,1992,0,0,65,38.54277778,-89.85111111
Illinois,Peoria,Greater Peoria,PIA,1992,3735,74,169324,40.66138889,-89.68722222
Illinois,Springfield,Capital,SPI,1992,5,4,84793,39.84416667,-89.67888889
Illinois,Chicago,Meigs Field,CGX,1992,0,0,6984,41.85888889,-87.60833333
Illinois,Marion/Herrin,Williamson County Regional,MWA,1992,0,0,13755,37.75194444,-89.01638889
Illinois,Quincy,Quincy Regional-Baldwin Field,UIN,1992,0,0,10479,39.94416667,-91.19722222
Illinois,Bloomington/Normal,Central Illinois Regional,BMI,1992,0,6,53524,40.48194444,-88.9275
Illinois,Champaign/Urbana,University of Illinois/Willard,CMI,1992,22,6,139307,40.03972222,-88.27972222
Illinois,Chicago,Chicago Midway International,MDW,1992,2252,25,1983291,41.785,-87.75194444
Illinois,Mattoon/Charleston,Coles County Memorial,MTO,1992,0,0,214,39.47861111,-88.27833333
Illinois,Decatur,Decatur Airport,DEC,1992,43,3,39667,39.83416667,-88.86861111
Illinois,Mount Vernon,Mount Vernon Airport,MVN,1992,6,0,0,38.32305556,-88.85861111
Illinois,Glenview,Glenview NAS,NBU,1992,0,0,387,42.08333333,-87.81833333
Illinois,Moline,Quad City International,MLI,1993,133,770,179672,41.44888889,-90.505
Illinois,Chicago,Pal/Waukee,PWK,1993,0,0,0,42.1125,-87.90111111
Illinois,Galesburg,Galesburg Municipal,GBG,1993,0,0,0,40.93861111,-90.42888889
