State,City,Airport,Code,Year,Freight tons,Mail tons,Passengers,Latitude,Longitude
Mississippi,Jackson/Vicksburg,Allen C Thompson Field,JAN,1990,1085240,3624853,390877,32.30972222,-90.07583333
Mississippi,Gulfport/Biloxi,Gulfport-Biloxi International,GPT,1990,95919,4736,61302,30.40611111,-89.07027778
Mississippi,Jackson/Vicksburg,Allen C Thompson Field,JAN,1991,2697,1584,349471,32.30972222,-90.07583333
Mississippi,Columbus,Columbus AFB,CBM,1991,4,0,443,33.64361111,-88.44388889
Mississippi,Gulfport/Biloxi,Gulfport-Biloxi International,GPT,1991,43,19,47737,30.40611111,-89.07027778
Mississippi,Columbus,Golden Triangle Regional,GTR,1991,0,0,1188,33.45027778,-88.59138889
Mississippi,Meridian,Key Field,MEI,1991,175,0,145,32.33722222,-88.74916667
Mississippi,Hattiesburg/Laurel,Hattiesburg-Laurel Regional,PIB,1991,0,0,1194,31.4675,-89.33666667
Mississippi,Greenwood,Greenwood/Leflore,GWO,1991,0,0,0,33.495,-90.08888889
Mississippi,Jackson/Vicksburg,Allen C Thompson Field,JAN,1992,648,1675,368626,32.30972222,-90.07583333
Mississippi,Columbus,Columbus AFB,CBM,1992,10,0,0,33.64361111,-88.44388889
Mississippi,Gulfport/Biloxi,Gulfport-Biloxi International,GPT,1992,0,0,3870,30.40611111,-89.07027778
Mississippi,Columbus,Golden Triangle Regional,GTR,1992,0,0,972,33.45027778,-88.59138889
Mississippi,Meridian,Key Field,MEI,1992,228,0,181,32.33722222,-88.74916667
Mississippi,Hattiesburg/Laurel,Hattiesburg-Laurel Regional,PIB,1992,0,0,931,31.4675,-89.33666667
Mississippi,Greenville,Greenville Municipal,GLH,1992,0,0,110,33.48444444,-90.985
Mississippi,Greenwood,Greenwood/Leflore,GWO,1992,0,0,0,33.495,-90.08888889
Mississippi,Tupelo,Tupelo Regional,TUP,1992,0,0,0,34.25888889,-88.76722222
Mississippi,Biloxi,Keesler AFB,BIX,1993,0,0,115,30.41111111,-88.92361111
Mississippi,Oxford,University-Oxford,UOX,1993,0,0,244,34.38444444,-89.535
Mississippi,Jackson/Vicksburg,Allen C Thompson Field,JAN,1993,1882,1817,349637,32.30972222,-90.07583333
Mississippi,Columbus,Columbus AFB,CBM,1993,0,0,130,33.64361111,-88.44388889
Mississippi,McComb,McComb/Pike County/John E. Lewis Field,MCB,1993,0,0,100,31.17861111,-90.47166667
