State,City,Airport,Code,Year,Freight tons,Mail tons,Passengers,Latitude,Longitude
New Jersey,Atlantic City,Atlantic City International,ACY,1990,7220,0,99771,39.4575,-74.57805556
New Jersey,Atlantic City,Bader Field,AIY,1990,0,0,0,39.36,-74.45722222
New Jersey,Fort Dix,McGuire AFB,WRI,1990,932423,0,0,40.01555556,-74.59388889
New Jersey,Newark,Newark Liberty International,EWR,1990,182944043,66320039,10474851,40.69583333,-74.17166667
New Jersey,Newark,Newark Liberty International,EWR,1991,188983,35237,9741850,40.69583333,-74.17166667
New Jersey,Fort Dix,McGuire AFB,WRI,1991,5023,588,5672,40.01555556,-74.59388889
New Jersey,Teterboro,Teterboro Airport,TEB,1991,0,0,40,40.84972222,-74.06222222
New Jersey,Trenton,Mercer County,TTN,1991,0,0,4948,40.27805556,-74.8125
New Jersey,Atlantic City,Atlantic City International,ACY,1991,6,0,260497,39.4575,-74.57805556
New Jersey,Newark,Newark Liberty International,EWR,1992,182201,41653,10479157,40.69583333,-74.17166667
New Jersey,Fort Dix,McGuire AFB,WRI,1992,231,0,1115,40.01555556,-74.59388889
New Jersey,Teterboro,Teterboro Airport,TEB,1992,35,0,277,40.84972222,-74.06222222
New Jersey,Trenton,Mercer County,TTN,1992,9,0,16720,40.27805556,-74.8125
New Jersey,Atlantic City,Atlantic City International,ACY,1992,6,0,310518,39.4575,-74.57805556
New Jersey,Morristown,Morristown Municipal,MMU,1992,0,0,157,40.79916667,-74.41583333
New Jersey,Newark,Newark Liberty International,EWR,1993,230185,49319,10969567,40.69583333,-74.17166667
New Jersey,Fort Dix,McGuire AFB,WRI,1993,573,0,2834,40.01555556,-74.59388889
New Jersey,Teterboro,Teterboro Airport,TEB,1993,125,0,66,40.84972222,-74.06222222
New Jersey,Trenton,Mercer County,TTN,1993,11,0,173,40.27805556,-74.8125
New Jersey,Atlantic City,Atlantic City International,ACY,1993,10,1,311863,39.4575,-74.57805556
New Jersey,Newark,Newark Liberty International,EWR,1994,286676,54260,12023097,40.69583333,-74.17166667
New Jersey,Fort Dix,McGuire AFB,WRI,1994,3055,0,1480,40.01555556,-74.59388889
New Jersey,Teterboro,Teterboro Airport,TEB,1994,50,0,157,40.84972222,-74.06222222
New Jersey,Trenton,Mercer County,TTN,1994,6,0,173,40.27805556,-74.8125
New Jersey,Atlantic City,Atlantic City International,ACY,1994,5,0,288147,39.4575,-74.57805556
New Jersey,Newark,Newark Liberty International,EWR,1995,324182,62917,11906444,40.69583333,-74.17166667
New Jersey,Fort Dix,McGuire AFB,WRI,1995,198,0,1427,40.01555556,-74.59388889
New Jersey,Teterboro,Teterboro Airport,TEB,1995,1,0,1319,40.84972222,-74.06222222
New Jersey,Trenton,Mercer County,TTN,1995,13,0,18360,40.27805556,-74.8125
New Jersey,Atlantic City,Atlantic City International,ACY,1995,3,0,226939,39.4575,-74.57805556
New Jersey,Newark,Newark Liberty International,EWR,1996,349042,63023,12952399,40.69583333,-74.17166667
New Jersey,Belmar/Farmingdale,Monmouth Executive,BLM,1996,0,0,41,40.18666667,-74.125
New Jersey,Fort Dix,McGuire AFB,WRI,1996,309,0,1528,40.01555556,-74.59388889
New Jersey,Teterboro,Teterboro Airport,TEB,1996,0,0,741,40.84972222,-74.06222222
New Jersey,Trenton,Mercer County,TTN,1996,22,0,71788,40.27805556,-74.8125
New Jersey,Atlantic City,Atlantic City International,ACY,1996,0,1,311652,39.4575,-74.57805556
New Jersey,Newark,Newark Liberty International,EWR,1997,440127,66050,13800012,40.69583333,-74.17166667
New Jersey,Fort Dix,McGuire AFB,WRI,1997,622,0,2720,40.01555556,-74.59388889
New Jersey,Teterboro,Teterboro Airport,TEB,1997,0,0,1380,40.84972222,-74.06222222
New Jersey,Trenton,Mercer County,TTN,1997,4,0,77660,40.27805556,-74.8125
New Jersey,Atlantic City,Atlantic City International,ACY,1997,5,0,385582,39.4575,-74.57805556
New Jersey,Newark,Newark Liberty International,EWR,1998,460790,66578,14563610,40.69583333,-74.17166667
New Jersey,Fort Dix,McGuire AFB,WRI,1998,1177,0,682,40.01555556,-74.59388889
New Jersey,Teterboro,Teterboro Airport,TEB,1998,1,0,834,40.84972222,-74.06222222
New Jersey,Trenton,Mercer County,TTN,1998,0,0,103777,40.27805556,-74.8125
New Jersey,Atlantic City,Atlantic City International,ACY,1998,0,0,394024,39.4575,-74.57805556
New Jersey,Newark,Newark Liberty International,EWR,1999,449178,64419,14912219,40.69583333,-74.17166667
New Jersey,Fort Dix,McGuire AFB,WRI,1999,574,0,2533,40.01555556,-74.59388889
New Jersey,Teterboro,Teterboro Airport,TEB,1999,5,0,2467,40.84972222,-74.06222222
