State,City,Airport,Code,Year,Freight tons,Mail tons,Passengers,Latitude,Longitude
U.S. Pacific Trust Territories,Rota,Rota International,ROP,1991,248,6,30697,14.17333333,145.2388889
U.S. Pacific Trust Territories,Tinian,West Tinian,TIQ,1991,2,0,607,15.00194444,145.625
U.S. Pacific Trust Territories,Koror,Babelthuap,ROR,1991,1195,26,37458,7.36444444,134.5538889
U.S. Pacific Trust Territories,Wake Island,Wake Island Airfield,AWK,1991,0,0,764,19.28,166.6402778
U.S. Pacific Trust Territories,Guam,Guam International,GUM,1991,19682,2561,845296,13.48388889,144.7972222
U.S. Pacific Trust Territories,Guam,Andersen AFB,UAM,1991,61,0,6484,13.5825,144.9275
U.S. Pacific Trust Territories,Saipan,Saipan International,SPN,1991,4164,165,297165,15.12027778,145.7302778
U.S. Pacific Trust Territories,Johnston Island,Johnston Atoll,JON,1991,5,4,2644,16.73055556,-169.5352778
U.S. Pacific Trust Territories,Pago Pago,Pago Pago International,PPG,1991,94,50,25659,-14.33444444,-170.7097222
U.S. Pacific Trust Territories,Rota,Rota International,ROP,1992,115,5,16349,14.17333333,145.2388889
U.S. Pacific Trust Territories,Tinian,West Tinian,TIQ,1992,1,0,81,15.00194444,145.625
U.S. Pacific Trust Territories,Koror,Babelthuap,ROR,1992,3416,27,41863,7.36444444,134.5538889
U.S. Pacific Trust Territories,Guam,Guam International,GUM,1992,19685,2432,940727,13.48388889,144.7972222
U.S. Pacific Trust Territories,Guam,Andersen AFB,UAM,1992,8,0,691,13.5825,144.9275
U.S. Pacific Trust Territories,Saipan,Saipan International,SPN,1992,5221,305,359721,15.12027778,145.7302778
U.S. Pacific Trust Territories,Johnston Island,Johnston Atoll,JON,1992,0,2,4086,16.73055556,-169.5352778
U.S. Pacific Trust Territories,Guam,Agana NAS,NGM,1992,0,0,0,13.44972222,144.75
U.S. Pacific Trust Territories,Pago Pago,Pago Pago International,PPG,1992,165,74,26387,-14.33444444,-170.7097222
U.S. Pacific Trust Territories,Rota,Rota International,ROP,1993,0,0,85,14.17333333,145.2388889
U.S. Pacific Trust Territories,Koror,Babelthuap,ROR,1993,3235,26,45475,7.36444444,134.5538889
U.S. Pacific Trust Territories,Wake Island,Wake Island Airfield,AWK,1993,0,0,346,19.28,166.6402778
U.S. Pacific Trust Territories,Guam,Guam International,GUM,1993,20917,2632,912196,13.48388889,144.7972222
U.S. Pacific Trust Territories,Guam,Andersen AFB,UAM,1993,128,0,0,13.5825,144.9275
U.S. Pacific Trust Territories,Saipan,Saipan International,SPN,1993,5768,181,354047,15.12027778,145.7302778
U.S. Pacific Trust Territories,Midway Island,Midway NAF,MDY,1993,0,0,287,28.19861111,-177.3802778
U.S. Pacific Trust Territories,Johnston Island,Johnston Atoll,JON,1993,0,3,5995,16.73055556,-169.5352778
U.S. Pacific Trust Territories,Pago Pago,Pago Pago International,PPG,1993,2546,101,21395,-14.33444444,-170.7097222
