State,City,Airport,Code,Year,Freight tons,Mail tons,Passengers,Latitude,Longitude
Wisconsin,Green Bay,Austin Straubel International,GRB,1990,275039,303756,186560,44.48805556,-88.13055556
Wisconsin,Mosinee,Central Wisconsin,CWA,1990,35340,2384,34841,44.78222222,-89.65916667
Wisconsin,Milwaukee,General Mitchell International,MKE,1990,8757476,16630428,1913443,42.95027778,-87.89722222
Wisconsin,La Crosse,La Crosse Municipal,LSE,1990,117774,6192,73100,43.87722222,-91.25638889
Wisconsin,Appleton,Outagamie County Regional,ATW,1990,286697,38194,129306,44.25777778,-88.52
Wisconsin,Rhinelander,Rhinelander/Oneida County,RHI,1990,1669,0,677,45.63138889,-89.4575
Wisconsin,Madison,Truax Field,MSN,1990,669393,1739415,425111,43.14194444,-89.33694444
Wisconsin,Oshkosh,Wittman Regional,OSH,1990,6100,26692,12499,43.98388889,-88.55694444
Wisconsin,Appleton,Outagamie County Regional,ATW,1991,2175,25,122859,44.25777778,-88.52
Wisconsin,Oshkosh,Wittman Regional,OSH,1991,6,1,13894,43.98388889,-88.55694444
Wisconsin,Milwaukee,General Mitchell International,MKE,1991,31153,7245,1818429,42.95027778,-87.89722222
Wisconsin,Beloit/Janesville,Rock County,JVL,1991,0,0,0,42.61861111,-89.03777778
Wisconsin,Rhinelander,Rhinelander/Oneida County,RHI,1991,0,0,324,45.63138889,-89.4575
Wisconsin,Mosinee,Central Wisconsin,CWA,1991,393,3,44569,44.78222222,-89.65916667
Wisconsin,Eau Claire,Eau Claire Municipal,EAU,1991,0,0,933,44.86444444,-91.48722222
Wisconsin,Green Bay,Austin Straubel International,GRB,1991,117,72,205155,44.48805556,-88.13055556
Wisconsin,La Crosse,La Crosse Municipal,LSE,1991,475,5,73733,43.87722222,-91.25638889
Wisconsin,Madison,Truax Field,MSN,1991,2840,779,393624,43.14194444,-89.33694444
Wisconsin,Camp Douglas,Volk Field,VOK,1991,0,0,2520,43.93833333,-90.26833333
Wisconsin,Appleton,Outagamie County Regional,ATW,1992,2471,19,132859,44.25777778,-88.52
Wisconsin,Oshkosh,Wittman Regional,OSH,1992,6,0,13772,43.98388889,-88.55694444
Wisconsin,Milwaukee,General Mitchell International,MKE,1992,23505,7197,2025578,42.95027778,-87.89722222
Wisconsin,Beloit/Janesville,Rock County,JVL,1992,0,0,0,42.61861111,-89.03777778
Wisconsin,Hayward,Hayward Municipal,HYR,1992,0,0,0,46.02444444,-91.44444444
Wisconsin,Rhinelander,Rhinelander/Oneida County,RHI,1992,0,0,153,45.63138889,-89.4575
Wisconsin,Mosinee,Central Wisconsin,CWA,1992,465,5,70469,44.78222222,-89.65916667
Wisconsin,Eau Claire,Eau Claire Municipal,EAU,1992,0,0,743,44.86444444,-91.48722222
Wisconsin,Green Bay,Austin Straubel International,GRB,1992,126,47,256865,44.48805556,-88.13055556
Wisconsin,La Crosse,La Crosse Municipal,LSE,1992,562,21,97546,43.87722222,-91.25638889
Wisconsin,Madison,Truax Field,MSN,1992,3263,812,527524,43.14194444,-89.33694444
Wisconsin,Camp Douglas,Volk Field,VOK,1992,89,0,7308,43.93833333,-90.26833333
Wisconsin,Appleton,Outagamie County Regional,ATW,1993,2149,0,26445,44.25777778,-88.52
Wisconsin,Oshkosh,Wittman Regional,OSH,1993,0,0,2004,43.98388889,-88.55694444
Wisconsin,Milwaukee,General Mitchell International,MKE,1993,20702,8722,2008713,42.95027778,-87.89722222
Wisconsin,Beloit/Janesville,Rock County,JVL,1993,0,0,60,42.61861111,-89.03777778
Wisconsin,Mosinee,Central Wisconsin,CWA,1993,437,6,40401,44.78222222,-89.65916667
Wisconsin,Eau Claire,Eau Claire Municipal,EAU,1993,0,0,797,44.86444444,-91.48722222
Wisconsin,Green Bay,Austin Straubel International,GRB,1993,147,46,205330,44.48805556,-88.13055556
